1-gram,Frequency,Cluster
party,11018,0
years,2712,0
new,2325,0
million,2317,0
billion,2226,0
people,2149,0
percent,2040,0
year,1996,0
tax,1973,0
increased,1735,0
per,1613,0
increase,1504,0
support,1416,0
government,1348,0
public,1327,0
education,1294,0
social,1268,0
health,1182,0
number,1173,0
income,1160,0
country,1083,0
first,1050,0
national,1041,0
rate,1023,0
work,989,0
also,968,0
every,927,0
one,919,0
services,900,0
development,893,0
period,865,0
time,862,0
system,849,0
care,842,0
thousand,814,0
jobs,806,0
total,803,0
2002,797,0
sector,793,0
investment,782,0
since,771,0
end,769,0
tl,760,0
children,759,0
euros,742,0
provide,736,0
economic,720,0
employment,711,0
state,699,0
energy,695,0
must,690,0
within,679,0
want,676,0
pension,672,0
ensure,667,0
world,666,0
last,657,0
economy,651,0
citizens,638,0
women,621,0
federal,619,0
service,617,0
make,610,0
two,610,0
high,603,0
housing,597,0
average,594,0
local,592,0
families,591,0
cent,589,0
young,588,0
pay,587,0
countries,586,0
budget,569,0
private,569,0
training,569,0
next,565,0
least,564,0
many,560,0
insurance,560,0
security,559,0
1,557,0
made,548,0
working,546,0
provided,541,0
projects,541,0
10,534,0
continue,524,0
three,523,0
20,522,0
need,520,0
would,511,0
growth,506,0
project,505,0
policy,503,0
students,499,0
50,499,0
family,496,0
benefit,495,0
areas,494,0
party,15747,1
new,3562,1
development,3155,1
support,2227,1
economic,2225,1
want,2121,1
social,1987,1
public,1949,1
also,1877,1
economy,1872,1
increase,1814,1
energy,1767,1
people,1709,1
country,1677,1
must,1560,1
policy,1483,1
education,1471,1
services,1437,1
ensure,1427,1
sector,1367,1
world,1349,1
research,1335,1
make,1304,1
national,1302,1
production,1296,1
growth,1258,1
infrastructure,1251,1
international,1215,1
quality,1181,1
work,1177,1
local,1150,1
investment,1147,1
continue,1124,1
use,1119,1
future,1110,1
system,1098,1
cultural,1065,1
areas,1060,1
tourism,1034,1
resources,1025,1
technology,1023,1
important,1020,1
create,1012,1
industry,994,1
order,986,1
opportunities,985,1
society,976,1
cooperation,975,1
high,967,1
government,936,1
strengthen,934,1
improve,915,1
market,913,1
employment,892,1
european,879,1
countries,874,1
business,869,1
trade,843,1
innovation,840,1
better,819,1
state,813,1
develop,799,1
need,798,1
life,793,1
citizens,793,1
promote,792,1
private,792,1
provide,781,1
technologies,767,1
security,764,1
policies,762,1
transport,762,1
increased,759,1
products,759,1
foreign,755,1
investments,749,1
needs,744,1
companies,744,1
regional,740,1
jobs,739,1
projects,737,1
sustainable,736,1
information,736,1
culture,716,1
health,710,1
global,700,1
training,697,1
financial,685,1
environment,680,1
strong,676,1
conditions,668,1
institutions,663,1
way,655,1
modern,653,1
cities,651,1
time,650,1
effective,647,1
level,645,1
increasing,636,1
framework,634,1
party,14671,2
must,4221,2
people,2192,2
government,2110,2
law,2106,2
rights,2094,2
want,2033,2
public,1998,2
state,1899,2
new,1675,2
policy,1659,2
also,1558,2
security,1553,2
political,1531,2
national,1442,2
social,1426,2
support,1399,2
right,1296,2
international,1285,2
system,1242,2
use,1208,2
nuclear,1184,2
european,1162,2
end,1145,2
citizens,1143,2
states,1142,2
ensure,1136,2
without,1107,2
protection,1103,2
federal,1081,2
eu,1059,2
country,1053,2
work,1015,2
human,991,2
make,957,2
legal,891,2
would,889,2
society,887,2
world,885,2
power,880,2
freedom,877,2
free,845,2
order,845,2
health,843,2
economic,827,2
need,808,2
act,789,2
development,785,2
military,782,2
foreign,781,2
democratic,780,2
control,765,2
services,750,2
education,743,2
prevent,725,2
weapons,715,2
union,709,2
countries,700,2
us,698,2
believe,696,2
protect,694,2
crime,691,2
way,690,2
take,684,2
united,681,2
time,676,2
europe,672,2
reject,669,2
future,665,2
one,663,2
local,659,2
continue,658,2
necessary,654,2
interests,651,2
fight,646,2
administration,640,2
tax,631,2
democracy,630,2
made,627,2
measures,614,2
life,608,2
therefore,605,2
civil,602,2
oppose,598,2
based,597,2
justice,595,2
peace,594,2
possible,592,2
energy,589,2
effective,580,2
criminal,569,2
change,566,2
private,564,2
forces,564,2
german,563,2
police,561,2
including,561,2
trade,561,2
parties,557,2
first,547,2
party,10767,3
education,4803,3
people,3360,3
children,2972,3
health,2691,3
care,2604,3
support,2542,3
social,2264,3
schools,2113,3
must,2094,3
want,1977,3
school,1880,3
work,1841,3
ensure,1780,3
services,1771,3
training,1745,3
young,1690,3
also,1644,3
new,1471,3
women,1461,3
need,1356,3
family,1318,3
system,1312,3
public,1217,3
provide,1103,3
life,1097,3
students,1088,3
child,1074,3
make,1033,3
families,1005,3
local,996,3
parents,978,3
opportunities,943,3
educational,917,3
needs,914,3
every,905,3
access,898,3
rights,885,3
development,863,3
teachers,838,3
free,837,3
youth,826,3
help,799,3
quality,789,3
state,775,3
working,771,3
society,758,3
right,756,3
time,739,3
national,730,3
employment,726,3
continue,717,3
improve,706,3
programs,694,3
sports,687,3
special,682,3
citizens,675,3
better,658,3
learning,654,3
equal,651,3
vocational,650,3
order,646,3
disabilities,644,3
use,627,3
good,621,3
age,618,3
service,605,3
policy,604,3
increase,587,3
conditions,587,3
well,586,3
including,580,3
disabled,579,3
take,575,3
centers,575,3
government,574,3
community,564,3
develop,549,3
future,535,3
skills,533,3
areas,531,3
institutions,528,3
necessary,524,3
federal,524,3
home,521,3
country,521,3
possible,517,3
standards,515,3
insurance,512,3
especially,507,3
medical,505,3
provided,503,3
private,503,3
protection,501,3
way,498,3
participation,491,3
security,490,3
law,489,3
basic,484,3
early,475,3
party,10592,4
must,2539,4
european,2108,4
new,2068,4
public,2061,4
development,1854,4
policy,1701,4
want,1523,4
national,1506,4
system,1397,4
also,1391,4
government,1328,4
ensure,1268,4
social,1251,4
local,1233,4
law,1219,4
state,1166,4
eu,1166,4
protection,1114,4
support,1073,4
security,1064,4
services,1002,4
rights,991,4
health,928,4
international,921,4
management,909,4
areas,890,4
order,864,4
use,861,4
federal,850,4
work,813,4
control,786,4
energy,775,4
