2-gram,Frequency,Cluster
"('per', 'cent')",586,0
"('young', 'people')",369,0
"('party', 'increase')",340,0
"('per', 'year')",336,0
"('party', 'continue')",300,0
"('social', 'security')",286,0
"('billion', 'tl')",273,0
"('four', 'years')",270,0
"('minimum', 'wage')",265,0
"('five', 'years')",254,0
"('party', 'provide')",252,0
"('party', 'also')",247,0
"('first', 'time')",245,0
"('party', 'ensure')",244,0
"('every', 'year')",234,0
"('income', 'tax')",227,0
"('billion', 'euros')",223,0
"('billion', 'dollars')",203,0
"('party', 'party')",190,0
"('higher', 'education')",189,0
"('public', 'sector')",186,0
"('within', 'scope')",186,0
"('two', 'years')",184,0
"('health', 'care')",182,0
"('party', 'make')",176,0
"('three', 'years')",175,0
"('years', 'party')",169,0
"('million', 'people')",169,0
"('new', 'jobs')",167,0
"('increased', 'number')",166,0
"('million', 'tl')",161,0
"('private', 'sector')",155,0
"('party', 'increased')",153,0
"('tax', 'rate')",138,0
"('1', 'billion')",136,0
"('federal', 'government')",132,0
"('disabled', 'people')",127,0
"('euros', 'per')",125,0
"('percent', '2002')",123,0
"('government', 'party')",122,0
"('small', 'businesses')",121,0
"('1', 'million')",112,0
"('billion', 'year')",111,0
"('per', 'week')",110,0
"('recent', 'years')",108,0
"('per', 'month')",107,0
"('party', 'create')",107,0
"('ten', 'years')",105,0
"('public', 'services')",105,0
"('increase', 'number')",104,0
"('5', 'years')",104,0
"('last', 'year')",104,0
"('united', 'states')",104,0
"('party', 'support')",103,0
"('health', 'insurance')",102,0
"('50', 'percent')",102,0
"('national', 'income')",100,0
"('real', 'terms')",100,0
"('economic', 'growth')",100,0
"('party', 'introduce')",99,0
"('european', 'union')",99,0
"('year', 'party')",98,0
"('years', 'ago')",97,0
"('next', 'parliament')",96,0
"('party', 'receive')",95,0
"('interest', 'rates')",95,0
"('mental', 'health')",95,0
"('party', 'give')",94,0
"('tax', 'rates')",94,0
"('drinking', 'water')",94,0
"('million', 'euros')",93,0
"('people', 'party')",91,0
"('2002', 'increased')",91,0
"('labour', 'party')",91,0
"('party', 'reduce')",89,0
"('per', 'capita')",89,0
"('2', 'billion')",89,0
"('party', 'take')",88,0
"('local', 'authorities')",88,0
"('one', 'million')",87,0
"('natural', 'gas')",86,0
"('party', 'establish')",84,0
"('usd', 'billion')",83,0
"('small', 'mediumsized')",83,0
"('labour', 'government')",83,0
"('northern', 'ireland')",83,0
"('party', 'able')",82,0
"('within', 'framework')",81,0
"('20', 'years')",81,0
"('climate', 'change')",80,0
"('armed', 'forces')",79,0
"('thousand', 'people')",79,0
"('party', 'provided')",78,0
"('party', 'help')",78,0
"('health', 'services')",76,0
"('rural', 'areas')",76,0
"('renewable', 'energy')",75,0
"('social', 'assistance')",74,0
"('party', 'reach')",74,0
"('across', 'country')",74,0
"('party', 'continue')",684,1
"('party', 'increase')",481,1
"('party', 'ensure')",479,1
"('party', 'party')",366,1
"('private', 'sector')",360,1
"('party', 'make')",335,1
"('party', 'support')",304,1
"('young', 'people')",302,1
"('party', 'also')",297,1
"('economic', 'growth')",287,1
"('party', 'established')",287,1
"('party', 'increased')",267,1
"('quality', 'life')",265,1
"('party', 'ensured')",212,1
"('party', 'create')",210,1
"('party', 'provide')",207,1
"('research', 'development')",206,1
"('party', 'strengthen')",196,1
"('economic', 'development')",195,1
"('economic', 'social')",194,1
"('rural', 'areas')",192,1
"('higher', 'education')",191,1
"('small', 'mediumsized')",191,1
"('party', 'encouraged')",182,1
"('added', 'value')",182,1
"('party', 'establish')",181,1
"('foreign', 'policy')",181,1
"('new', 'technologies')",179,1
"('within', 'framework')",178,1
"('public', 'sector')",176,1
"('party', 'develop')",174,1
"('party', 'encourage')",174,1
"('science', 'technology')",170,1
"('sector', 'party')",165,1
"('renewable', 'energy')",165,1
"('party', 'made')",163,1
"('northern', 'ireland')",163,1
"('party', 'developed')",160,1
"('party', 'improve')",159,1
"('want', 'strengthen')",156,1
"('european', 'union')",155,1
"('new', 'jobs')",153,1
"('public', 'services')",152,1
"('labor', 'market')",149,1
"('system', 'party')",148,1
"('civil', 'society')",147,1
"('mediumsized', 'enterprises')",146,1
"('energy', 'efficiency')",145,1
"('social', 'security')",145,1
"('party', 'work')",143,1
"('party', 'expand')",140,1
"('local', 'governments')",138,1
"('sustainable', 'development')",136,1
"('public', 'transport')",132,1
"('human', 'resources')",132,1
"('party', 'improved')",132,1
"('party', 'become')",130,1
"('long', 'term')",129,1
"('create', 'new')",128,1
"('increase', 'number')",128,1
"('coming', 'period')",126,1
"('information', 'society')",124,1
"('party', 'implement')",123,1
"('party', 'take')",123,1
"('united', 'states')",123,1
"('party', 'provided')",122,1
"('high', 'valueadded')",122,1
"('natural', 'gas')",121,1
"('local', 'authorities')",121,1
"('framework', 'conditions')",117,1
"('regional', 'development')",116,1
"('economy', 'party')",114,1
"('high', 'quality')",114,1
"('country', 'party')",114,1
"('human', 'rights')",113,1
"('services', 'party')",110,1
"('environmentally', 'friendly')",110,1
"('market', 'economy')",110,1
"('renewable', 'energies')",110,1
"('party', 'promote')",109,1
"('party', 'given')",109,1
"('policies', 'party')",108,1
"('improve', 'quality')",108,1
"('public', 'administration')",107,1
"('public', 'private')",106,1
"('party', 'supported')",106,1
"('period', 'party')",106,1
"('federal', 'government')",106,1
"('taking', 'account')",105,1
"('21st', 'century')",104,1
"('recent', 'years')",104,1
"('climate', 'change')",103,1
"('must', 'also')",101,1
"('vocational', 'training')",100,1
"('also', 'want')",97,1
"('want', 'expand')",95,1
"('infrastructure', 'party')",94,1
"('projects', 'party')",93,1
"('industry', 'party')",92,1
"('policy', 'party')",92,1
"('human', 'rights')",638,2
"('united', 'states')",425,2
"('party', 'party')",371,2
"('party', 'continue')",345,2
"('nuclear', 'weapons')",319,2
"('party', 'ensure')",314,2
"('foreign', 'policy')",273,2
"('european', 'union')",264,2
"('rule', 'law')",251,2
"('put', 'end')",216,2
"('party', 'make')",214,2
"('party', 'work')",210,2
"('party', 'also')",208,2
"('federal', 'government')",201,2
"('united', 'nations')",195,2
"('die', 'linke')",195,2
"('party', 'put')",181,2
"('law', 'enforcement')",177,2
"('young', 'people')",174,2
"('must', 'also')",174,2
"('party', 'allow')",172,2
"('fundamental', 'rights')",162,2
"('party', 'end')",160,2
"('government', 'party')",159,2
"('armed', 'forces')",152,2
"('international', 'law')",152,2
"('party', 'take')",150,2
"('civil', 'society')",145,2
"('national', 'security')",143,2
"('nuclear', 'power')",140,2
"('political', 'parties')",139,2
"('health', 'care')",137,2
"('within', 'framework')",135,2
"('soviet', 'union')",135,2
"('party', 'made')",133,2
"('party', 'must')",131,2
"('northern', 'ireland')",131,2
"('party', 'prevent')",130,2
"('social', 'security')",130,2
"('party', 'prevented')",129,2
"('free', 'democrats')",121,2
"('republic', 'party')",118,2
"('middle', 'east')",116,2
"('party', 'abolish')",112,2
"('basic', 'law')",111,2
"('party', 'abolished')",110,2
"('democrats', 'party')",108,2
"('climate', 'change')",106,2
"('data', 'protection')",106,2
"('public', 'services')",102,2
"('arms', 'control')",102,2
"('party', 'fight')",101,2
"('party', 'establish')",101,2
"('administration', 'party')",101,2
"('people', 'party')",100,2
"('american', 'people')",99,2
"('party', 'established')",98,2
"('public', 'sector')",97,2
"('uk', 'government')",97,2
"('economic', 'social')",96,2
"('system', 'party')",96,2
"('party', 'eliminated')",95,2
"('party', 'support')",95,2
"('civil', 'rights')",93,2
"('member', 'states')",92,2
"('citizens', 'party')",91,2
"('criminal', 'law')",91,2
"('party', 'introduce')",91,2
"('fight', 'terrorism')",91,2
"('party', 'problem')",91,2
"('public', 'officials')",90,2
"('law', 'party')",89,2
"('federal', 'state')",89,2
"('power', 'plants')",88,2
"('arms', 'exports')",87,2
"('pirate', 'party')",87,2
"('party', 'never')",86,2
"('party', 'remove')",85,2
"('policy', 'party')",85,2
"('party', 'seek')",85,2
"('president', 'party')",85,2
"('rights', 'freedoms')",83,2
"('security', 'council')",82,2
"('want', 'abolish')",82,2
"('local', 'government')",80,2
"('party', 'ensured')",79,2
"('party', 'protect')",79,2
"('mps', 'party')",79,2
"('party', 'strengthen')",78,2
"('snp', 'mps')",77,2
"('rights', 'party')",74,2
"('state', 'party')",74,2
"('health', 'insurance')",74,2
"('must', 'remain')",74,2
"('separation', 'powers')",73,2
"('labour', 'party')",73,2
"('violence', 'women')",72,2
"('party', 'allowed')",71,2
"('higher', 'education')",71,2
"('public', 'administration')",71,2
"('young', 'people')",1234,3
"('party', 'ensure')",585,3
"('health', 'care')",511,3
"('party', 'continue')",394,3
"('people', 'disabilities')",348,3
"('education', 'party')",309,3
"('party', 'provide')",309,3
"('higher', 'education')",297,3
"('party', 'also')",288,3
"('mental', 'health')",266,3
"('party', 'make')",258,3
"('health', 'services')",252,3
"('social', 'security')",249,3
"('education', 'system')",241,3
"('children', 'young')",214,3
"('education', 'training')",207,3
"('vocational', 'training')",206,3
"('party', 'increase')",200,3
"('party', 'establish')",189,3
"('party', 'support')",188,3
"('disabled', 'people')",186,3
"('every', 'child')",186,3
"('secondary', 'education')",179,3
"('party', 'provided')",176,3
"('local', 'authorities')",172,3
"('health', 'insurance')",161,3
"('equal', 'opportunities')",160,3
"('must', 'also')",160,3
"('schools', 'party')",158,3
"('party', 'work')",158,3
"('daycare', 'centers')",155,3
"('care', 'services')",154,3
"('services', 'party')",152,3
"('party', 'encourage')",148,3
"('continuing', 'education')",146,3
"('party', 'create')",136,3
"('party', 'give')",133,3
"('party', 'improve')",130,3
"('party', 'party')",129,3
"('people', 'party')",129,3
"('party', 'expand')",129,3
"('party', 'made')",124,3
"('need', 'care')",124,3
"('rural', 'areas')",124,3
"('free', 'charge')",123,3
"('party', 'develop')",123,3
"('labor', 'market')",123,3
"('party', 'take')",121,3
"('working', 'conditions')",115,3
