2-gram,Frequency,Cluster
"('party', 'established')",748,0
"('party', 'ensured')",676,0
"('party', 'made')",646,0
"('party', 'increased')",462,0
"('party', 'provided')",417,0
"('system', 'party')",383,0
"('party', 'developed')",357,0
"('party', 'encouraged')",318,0
"('party', 'prevented')",287,0
"('party', 'given')",277,0
"('party', 'party')",268,0
"('party', 'taken')",266,0
"('party', 'improved')",239,0
"('party', 'implemented')",230,0
"('party', 'eliminated')",230,0
"('party', 'supported')",207,0
"('services', 'party')",204,0
"('party', 'ensure')",183,0
"('private', 'sector')",176,0
"('sector', 'party')",169,0
"('measures', 'party')",167,0
"('party', 'strengthened')",164,0
"('education', 'party')",153,0
"('within', 'framework')",148,0
"('party', 'reduced')",148,0
"('party', 'created')",147,0
"('party', 'continue')",146,0
"('party', 'also')",141,0
"('resources', 'party')",140,0
"('arrangements', 'party')",136,0
"('policies', 'party')",135,0
"('taking', 'account')",134,0
"('party', 'expanded')",131,0
"('party', 'abolished')",130,0
"('party', 'restructured')",124,0
"('social', 'security')",124,0
"('young', 'people')",123,0
"('party', 'put')",122,0
"('citizens', 'party')",121,0
"('local', 'governments')",119,0
"('public', 'sector')",116,0
"('emphasis', 'party')",116,0
"('party', 'protected')",112,0
"('policy', 'party')",106,0
"('centers', 'party')",103,0
"('party', 'allowed')",99,0
"('party', 'used')",99,0
"('economic', 'social')",98,0
"('institutions', 'party')",96,0
"('party', 'ended')",95,0
"('support', 'party')",95,0
"('party', 'introduced')",95,0
"('workers', 'party')",93,0
"('party', 'raised')",93,0
"('party', 'able')",93,0
"('party', 'increase')",92,0
"('party', 'completed')",92,0
"('structure', 'party')",91,0
"('investments', 'party')",91,0
"('party', 'become')",91,0
"('infrastructure', 'party')",91,0
"('people', 'party')",89,0
"('projects', 'party')",89,0
"('party', 'transformed')",88,0
"('programs', 'party')",88,0
"('within', 'scope')",88,0
"('party', 'carried')",88,0
"('party', 'removed')",87,0
"('party', 'make')",87,0
"('higher', 'education')",86,0
"('country', 'party')",86,0
"('activities', 'party')",84,0
