2-gram,Frequency,Cluster
"('rural', 'areas')",328,0
"('rural', 'development')",202,0
"('agricultural', 'products')",183,0
"('agricultural', 'production')",168,0
"('agricultural', 'policy')",159,0
"('animal', 'welfare')",148,0
"('agricultural', 'sector')",138,0
"('party', 'continue')",122,0
"('party', 'ensure')",112,0
"('animal', 'husbandry')",98,0
"('party', 'also')",86,0
"('party', 'ensured')",83,0
"('nature', 'conservation')",82,0
"('party', 'support')",80,0
"('farmers', 'party')",74,0
"('party', 'established')",74,0
"('common', 'agricultural')",73,0
"('agricultural', 'land')",72,0
"('party', 'made')",70,0
"('agriculture', 'party')",70,0
"('party', 'provided')",69,0
"('party', 'developed')",66,0
"('organic', 'farming')",66,0
"('rural', 'economy')",64,0
"('party', 'encouraged')",62,0
"('areas', 'party')",58,0
"('party', 'provide')",56,0
"('livestock', 'farming')",56,0
"('taking', 'account')",54,0
"('economic', 'social')",53,0
"('water', 'resources')",53,0
"('rural', 'communities')",53,0
"('food', 'safety')",52,0
"('small', 'mediumsized')",52,0
"('natural', 'resources')",52,0
"('raw', 'materials')",50,0
"('party', 'establish')",49,0
"('sector', 'party')",48,0
"('agricultural', 'research')",48,0
"('party', 'make')",48,0
"('local', 'authorities')",48,0
"('food', 'production')",47,0
"('land', 'use')",47,0
"('party', 'increase')",46,0
"('farmers', 'ranchers')",46,0
"('environmentally', 'friendly')",45,0
"('agriculture', 'forestry')",44,0
"('party', 'increased')",43,0
"('environmental', 'protection')",42,0
"('party', 'prevented')",42,0
"('production', 'party')",41,0
"('products', 'party')",40,0
"('high', 'quality')",39,0
"('climate', 'change')",39,0
"('party', 'work')",39,0
"('party', 'protect')",38,0
"('party', 'encourage')",37,0
"('private', 'sector')",36,0
"('processing', 'marketing')",36,0
"('genetic', 'engineering')",36,0
"('rural', 'party')",36,0
"('forest', 'villagers')",35,0
"('support', 'farmers')",35,0
"('quality', 'life')",35,0
"('agricultural', 'subsidies')",35,0
"('agricultural', 'enterprises')",35,0
"('party', 'put')",34,0
"('party', 'given')",34,0
"('young', 'farmers')",34,0
"('party', 'implement')",33,0
"('within', 'scope')",33,0
"('policies', 'party')",32,0
"('sustainable', 'development')",32,0
"('party', 'create')",32,0
"('agriculture', 'livestock')",32,0
"('added', 'value')",32,0
"('young', 'people')",32,0
"('must', 'also')",32,0
"('animal', 'protection')",32,0
"('party', 'give')",31,0
"('regional', 'development')",31,0
"('family', 'farms')",31,0
"('rural', 'regions')",31,0
"('lands', 'party')",30,0
"('healthy', 'food')",30,0
"('protected', 'areas')",30,0
"('party', 'develop')",30,0
"('soil', 'water')",30,0
"('investments', 'party')",30,0
"('genetically', 'modified')",30,0
"('party', 'promote')",30,0
"('sustainable', 'agriculture')",30,0
"('natural', 'environment')",30,0
"('agricultural', 'workers')",29,0
"('social', 'security')",29,0
"('enterprises', 'party')",29,0
"('want', 'strengthen')",29,0
"('ministry', 'agriculture')",28,0
"('food', 'industry')",28,0
"('within', 'framework')",28,0
"('health', 'care')",897,1
"('health', 'services')",395,1
"('health', 'insurance')",332,1
"('party', 'ensure')",235,1
"('mental', 'health')",234,1
"('care', 'system')",160,1
"('medical', 'care')",152,1
"('care', 'services')",144,1
"('services', 'party')",136,1
"('public', 'health')",132,1
"('health', 'service')",131,1
"('health', 'system')",127,1
"('party', 'provide')",109,1
"('social', 'security')",109,1
"('party', 'continue')",109,1
"('primary', 'care')",105,1
"('longterm', 'care')",102,1
"('party', 'also')",95,1
"('national', 'health')",92,1
"('care', 'party')",91,1
"('social', 'care')",87,1
"('private', 'health')",82,1
"('primary', 'health')",81,1
"('healthcare', 'system')",80,1
"('need', 'care')",75,1
"('health', 'social')",73,1
"('party', 'work')",72,1
"('party', 'make')",72,1
"('quality', 'health')",71,1
"('health', 'centers')",70,1
"('people', 'disabilities')",70,1
"('free', 'charge')",69,1
"('system', 'party')",69,1
"('insurance', 'funds')",68,1
"('access', 'health')",65,1
"('quality', 'care')",65,1
"('preventive', 'health')",64,1
"('care', 'insurance')",63,1
"('health', 'personnel')",62,1
"('ministry', 'health')",62,1
"('health', 'promotion')",59,1
"('health', 'party')",59,1
"('health', 'policy')",58,1
"('party', 'establish')",56,1
"('party', 'increase')",56,1
"('working', 'conditions')",56,1
"('health', 'centres')",55,1
"('health', 'education')",54,1
"('insurance', 'system')",54,1
"('party', 'provided')",53,1
"('health', 'safety')",53,1
"('rural', 'areas')",53,1
"('high', 'quality')",53,1
"('party', 'support')",52,1
"('private', 'sector')",52,1
"('must', 'also')",52,1
"('health', 'professionals')",51,1
"('health', 'workers')",50,1
"('party', 'established')",50,1
"('statutory', 'health')",50,1
"('hospitals', 'party')",47,1
"('people', 'need')",47,1
"('medical', 'services')",47,1
"('services', 'provided')",45,1
"('social', 'services')",45,1
"('party', 'improve')",43,1
"('general', 'health')",43,1
"('health', 'sector')",43,1
"('insured', 'persons')",43,1
"('care', 'must')",42,1
"('home', 'care')",41,1
"('public', 'private')",41,1
"('party', 'give')",41,1
"('old', 'age')",41,1
"('outpatient', 'care')",41,1
"('older', 'people')",40,1
"('party', 'made')",40,1
"('party', 'ensured')",39,1
"('good', 'health')",39,1
"('public', 'hospitals')",38,1
"('public', 'sector')",38,1
"('close', 'home')",38,1
"('patients', 'rights')",37,1
"('nursing', 'care')",37,1
"('democrats', 'party')",37,1
"('medical', 'devices')",36,1
"('party', 'develop')",36,1
"('health', 'institutions')",35,1
"('nursing', 'homes')",35,1
"('within', 'framework')",35,1
"('party', 'party')",35,1
"('party', 'expand')",35,1
"('doctors', 'nurses')",35,1
"('local', 'authorities')",35,1
"('diagnosis', 'treatment')",34,1
"('party', 'take')",34,1
"('care', 'providers')",34,1
"('hospital', 'care')",34,1
"('party', 'create')",33,1
"('nursing', 'staff')",33,1
"('human', 'rights')",172,2
"('party', 'party')",152,2
"('united', 'states')",151,2
"('european', 'union')",141,2
"('foreign', 'policy')",126,2
"('party', 'continue')",84,2
"('federal', 'government')",84,2
"('party', 'allow')",78,2
"('nuclear', 'weapons')",75,2
"('rule', 'law')",70,2
"('social', 'security')",69,2
"('die', 'linke')",69,2
"('armed', 'forces')",68,2
"('united', 'nations')",65,2
"('nuclear', 'power')",62,2
"('party', 'never')",61,2
"('young', 'people')",59,2
"('government', 'party')",59,2
"('northern', 'ireland')",59,2
"('international', 'law')",56,2
"('health', 'care')",55,2
"('climate', 'change')",54,2
"('party', 'make')",51,2
"('party', 'prevented')",50,2
"('middle', 'east')",48,2
"('american', 'people')",47,2
"('national', 'security')",46,2
"('basic', 'law')",46,2
"('policy', 'party')",45,2
"('fundamental', 'rights')",44,2
"('party', 'also')",43,2
"('party', 'must')",43,2
"('party', 'ensure')",42,2
