2-gram,Frequency,Cluster
"('human', 'rights')",710,0
"('united', 'states')",452,0
"('party', 'party')",412,0
"('party', 'continue')",412,0
"('party', 'ensure')",353,0
"('foreign', 'policy')",342,0
"('european', 'union')",340,0
"('nuclear', 'weapons')",332,0
"('rule', 'law')",272,0
"('federal', 'government')",262,0
"('party', 'also')",250,0
"('party', 'work')",243,0
"('party', 'make')",238,0
"('united', 'nations')",230,0
"('northern', 'ireland')",222,0
"('put', 'end')",219,0
"('die', 'linke')",216,0
"('government', 'party')",199,0
"('must', 'also')",194,0
"('party', 'put')",185,0
"('armed', 'forces')",180,0
"('young', 'people')",177,0
"('party', 'end')",171,0
"('party', 'allow')",170,0
"('climate', 'change')",170,0
"('fundamental', 'rights')",166,0
"('international', 'law')",165,0
"('civil', 'society')",164,0
"('law', 'enforcement')",164,0
"('party', 'take')",162,0
"('within', 'framework')",161,0
"('political', 'parties')",158,0
"('health', 'care')",155,0
"('nuclear', 'power')",155,0
"('national', 'security')",154,0
"('party', 'must')",149,0
"('free', 'democrats')",144,0
"('soviet', 'union')",142,0
"('member', 'states')",137,0
"('republic', 'party')",134,0
"('uk', 'government')",132,0
"('party', 'made')",130,0
"('middle', 'east')",124,0
"('democrats', 'party')",124,0
"('party', 'prevent')",122,0
"('social', 'security')",121,0
"('basic', 'law')",121,0
"('party', 'establish')",117,0
"('arms', 'control')",116,0
"('public', 'services')",115,0
"('american', 'people')",114,0
"('party', 'prevented')",113,0
"('party', 'support')",112,0
"('data', 'protection')",112,0
"('party', 'abolish')",111,0
"('mps', 'party')",108,0
"('administration', 'party')",107,0
"('snp', 'mps')",106,0
"('party', 'problem')",104,0
"('civil', 'rights')",104,0
"('people', 'party')",103,0
"('federal', 'state')",103,0
"('system', 'party')",102,0
"('party', 'fight')",102,0
"('policy', 'party')",102,0
"('party', 'seek')",102,0
"('party', 'introduce')",101,0
"('climate', 'protection')",100,0
"('president', 'party')",99,0
"('power', 'plants')",99,0
"('economic', 'social')",98,0
"('party', 'established')",96,0
"('security', 'council')",95,0
"('law', 'party')",95,0
"('arms', 'exports')",95,0
"('pirate', 'party')",95,0
"('party', 'abolished')",93,0
"('animal', 'welfare')",92,0
"('rights', 'freedoms')",91,0
"('citizens', 'party')",90,0
"('fight', 'terrorism')",90,0
"('criminal', 'law')",88,0
"('party', 'never')",86,0
"('plaid', 'cymru')",86,0
"('european', 'parliament')",85,0
"('want', 'strengthen')",85,0
"('party', 'strengthen')",84,0
"('german', 'government')",84,0
"('labour', 'government')",84,0
"('public', 'sector')",83,0
"('must', 'remain')",83,0
