2-gram,Frequency,Cluster
"('social', 'security')",548,0
"('party', 'ensure')",508,0
"('party', 'also')",434,0
"('party', 'make')",365,0
"('public', 'sector')",331,0
"('party', 'continue')",330,0
"('private', 'sector')",309,0
"('federal', 'government')",271,0
"('income', 'tax')",265,0
"('government', 'party')",246,0
"('local', 'authorities')",235,0
"('local', 'government')",228,0
"('system', 'party')",221,0
"('party', 'ensured')",220,0
"('climate', 'change')",220,0
"('public', 'services')",219,0
"('minimum', 'wage')",210,0
"('labor', 'market')",210,0
"('tax', 'system')",202,0
"('party', 'work')",200,0
"('small', 'mediumsized')",200,0
"('party', 'made')",198,0
"('party', 'provide')",192,0
"('party', 'party')",191,0
"('must', 'also')",187,0
"('free', 'democrats')",187,0
"('party', 'reduce')",186,0
"('party', 'support')",177,0
"('health', 'care')",177,0
"('party', 'introduce')",176,0
"('labour', 'party')",173,0
"('interest', 'rates')",171,0
"('party', 'established')",169,0
"('economic', 'growth')",168,0
"('climate', 'protection')",168,0
"('public', 'transport')",167,0
"('party', 'establish')",166,0
"('party', 'increase')",165,0
"('health', 'insurance')",158,0
"('renewable', 'energy')",158,0
"('long', 'term')",157,0
"('small', 'businesses')",153,0
"('policy', 'party')",151,0
"('party', 'take')",142,0
"('sector', 'party')",140,0
"('party', 'put')",139,0
"('party', 'prevented')",139,0
"('working', 'hours')",139,0
"('mediumsized', 'enterprises')",139,0
"('party', 'give')",138,0
"('within', 'framework')",137,0
"('tax', 'evasion')",137,0
"('party', 'create')",133,0
"('democrats', 'want')",132,0
"('northern', 'ireland')",132,0
"('economic', 'social')",129,0
"('european', 'union')",128,0
"('also', 'want')",128,0
"('policies', 'party')",127,0
"('party', 'eliminated')",126,0
"('market', 'economy')",125,0
"('local', 'governments')",124,0
"('trade', 'unions')",123,0
"('party', 'encourage')",123,0
"('put', 'end')",122,0
"('rural', 'areas')",120,0
"('working', 'conditions')",120,0
"('party', 'implement')",120,0
"('die', 'linke')",120,0
"('taking', 'account')",119,0
"('tax', 'rates')",119,0
"('want', 'make')",118,0
"('party', 'reduced')",117,0
"('real', 'estate')",117,0
"('new', 'jobs')",116,0
"('services', 'party')",115,0
"('energy', 'efficiency')",115,0
"('raw', 'materials')",114,0
"('economic', 'policy')",114,0
"('take', 'account')",112,0
"('environmental', 'protection')",111,0
"('tax', 'reform')",110,0
"('environmentally', 'friendly')",109,0
"('collective', 'bargaining')",107,0
"('party', 'taken')",106,0
"('energy', 'sources')",106,0
"('old', 'age')",106,0
"('renewable', 'energies')",106,0
"('social', 'assistance')",103,0
"('financial', 'markets')",102,0
"('natural', 'resources')",102,0
"('tax', 'burden')",101,0
"('party', 'end')",101,0
"('party', 'develop')",100,0
