2-gram,Frequency,Cluster
"('rural', 'areas')",376,0
"('rural', 'development')",210,0
"('agricultural', 'products')",192,0
"('party', 'ensure')",178,0
"('animal', 'welfare')",178,0
"('party', 'continue')",175,0
"('agricultural', 'production')",172,0
"('agricultural', 'policy')",169,0
"('nature', 'conservation')",138,0
"('agricultural', 'sector')",137,0
"('climate', 'change')",134,0
"('party', 'also')",133,0
"('natural', 'resources')",129,0
"('party', 'support')",119,0
"('environmental', 'protection')",114,0
"('environmentally', 'friendly')",110,0
"('animal', 'husbandry')",107,0
"('party', 'ensured')",103,0
"('water', 'resources')",98,0
"('party', 'established')",96,0
"('party', 'developed')",88,0
"('party', 'made')",85,0
"('sustainable', 'development')",85,0
"('local', 'authorities')",81,0
"('raw', 'materials')",79,0
"('party', 'encouraged')",79,0
"('agricultural', 'land')",77,0
"('renewable', 'energy')",77,0
"('farmers', 'party')",76,0
"('party', 'provide')",76,0
"('common', 'agricultural')",75,0
"('party', 'establish')",74,0
"('protected', 'areas')",74,0
"('quality', 'life')",73,0
"('economic', 'social')",72,0
"('party', 'provided')",71,0
"('agriculture', 'party')",70,0
"('organic', 'farming')",69,0
"('must', 'also')",68,0
"('areas', 'party')",67,0
"('party', 'make')",66,0
"('party', 'work')",65,0
"('rural', 'communities')",65,0
"('taking', 'account')",63,0
"('land', 'use')",63,0
"('natural', 'environment')",63,0
"('rural', 'economy')",62,0
"('future', 'generations')",60,0
"('food', 'safety')",60,0
"('livestock', 'farming')",59,0
"('small', 'mediumsized')",59,0
"('sector', 'party')",57,0
"('food', 'production')",57,0
"('party', 'increase')",57,0
"('party', 'protect')",57,0
"('climate', 'protection')",55,0
"('genetically', 'modified')",53,0
"('private', 'sector')",53,0
"('environmental', 'policy')",53,0
"('party', 'encourage')",51,0
"('party', 'prevented')",50,0
"('agricultural', 'research')",50,0
"('products', 'party')",50,0
"('animal', 'protection')",50,0
"('party', 'develop')",49,0
"('party', 'party')",48,0
"('policies', 'party')",48,0
"('party', 'create')",48,0
"('party', 'implement')",48,0
"('agriculture', 'forestry')",48,0
"('production', 'party')",47,0
"('party', 'increased')",47,0
"('within', 'framework')",47,0
"('farmers', 'ranchers')",47,0
"('economic', 'development')",45,0
"('energy', 'sources')",45,0
"('genetic', 'engineering')",45,0
"('want', 'strengthen')",45,0
"('health', 'care')",44,0
"('party', 'given')",43,0
"('system', 'party')",42,0
"('high', 'quality')",42,0
"('regional', 'development')",42,0
"('added', 'value')",42,0
"('resources', 'party')",42,0
"('public', 'transport')",42,0
"('party', 'put')",41,0
"('within', 'scope')",41,0
"('party', 'promote')",40,0
"('take', 'account')",40,0
"('consumer', 'protection')",40,0
"('local', 'communities')",40,0
"('federal', 'government')",40,0
"('lands', 'party')",39,0
"('party', 'improve')",38,0
"('investments', 'party')",38,0
"('processing', 'marketing')",38,0
"('rural', 'regions')",38,0
"('healthy', 'food')",37,0
"('social', 'security')",37,0
"('human', 'rights')",598,1
