2-gram,Frequency,Cluster
"('party', 'continue')",690,0
"('party', 'ensure')",486,0
"('party', 'increase')",481,0
"('party', 'party')",364,0
"('private', 'sector')",355,0
"('party', 'make')",334,0
"('party', 'support')",310,0
"('young', 'people')",307,0
"('party', 'also')",296,0
"('party', 'established')",291,0
"('economic', 'growth')",286,0
"('party', 'increased')",267,0
"('quality', 'life')",267,0
"('party', 'ensured')",219,0
"('party', 'provide')",210,0
"('party', 'create')",210,0
"('research', 'development')",204,0
"('party', 'strengthen')",197,0
"('rural', 'areas')",196,0
"('economic', 'social')",196,0
"('higher', 'education')",194,0
"('economic', 'development')",193,0
"('small', 'mediumsized')",191,0
"('party', 'encouraged')",187,0
"('foreign', 'policy')",185,0
"('party', 'establish')",183,0
"('added', 'value')",182,0
"('new', 'technologies')",179,0
"('public', 'sector')",179,0
"('party', 'develop')",179,0
"('party', 'encourage')",174,0
"('within', 'framework')",173,0
"('party', 'made')",169,0
"('sector', 'party')",167,0
"('science', 'technology')",166,0
"('renewable', 'energy')",166,0
"('party', 'improve')",163,0
"('northern', 'ireland')",162,0
"('want', 'strengthen')",159,0
"('party', 'developed')",158,0
"('european', 'union')",156,0
"('new', 'jobs')",154,0
"('public', 'services')",153,0
"('civil', 'society')",151,0
"('labor', 'market')",150,0
"('system', 'party')",149,0
"('party', 'work')",149,0
"('energy', 'efficiency')",146,0
"('social', 'security')",146,0
"('mediumsized', 'enterprises')",146,0
"('local', 'governments')",141,0
"('party', 'expand')",140,0
"('sustainable', 'development')",136,0
"('party', 'improved')",133,0
"('human', 'resources')",131,0
"('public', 'transport')",130,0
"('party', 'become')",129,0
"('increase', 'number')",128,0
"('long', 'term')",128,0
"('party', 'provided')",126,0
"('information', 'society')",126,0
"('create', 'new')",126,0
"('party', 'take')",125,0
"('party', 'implement')",124,0
"('coming', 'period')",124,0
"('high', 'valueadded')",122,0
"('human', 'rights')",122,0
"('united', 'states')",122,0
"('local', 'authorities')",122,0
"('natural', 'gas')",118,0
"('framework', 'conditions')",118,0
"('regional', 'development')",115,0
"('high', 'quality')",115,0
"('country', 'party')",114,0
"('federal', 'government')",113,0
"('economy', 'party')",112,0
"('policies', 'party')",112,0
"('renewable', 'energies')",112,0
"('environmentally', 'friendly')",111,0
"('improve', 'quality')",111,0
"('party', 'promote')",110,0
