1-gram,Frequency,Cluster
party,4224,0
care,2902,0
want,2718,0
people,2662,0
education,2608,0
health,2467,0
must,2426,0
support,2120,0
children,2002,0
work,1742,0
also,1541,0
social,1460,0
need,1437,0
services,1404,0
training,1252,0
schools,1238,0
school,1134,0
new,1038,0
ensure,1010,0
public,987,0
family,961,0
provide,941,0
make,939,0
young,932,0
system,929,0
families,857,0
women,831,0
life,806,0
opportunities,790,0
students,790,0
parents,788,0
child,783,0
insurance,769,0
access,757,0
working,753,0
time,749,0
programs,749,0
better,738,0
help,711,0
needs,701,0
federal,688,0
good,653,0
quality,640,0
employment,635,0
free,599,0
many,574,0
housing,570,0
citizens,552,0
centers,552,0
educational,549,0
right,537,0
state,537,0
every,536,0
improve,536,0
continue,530,0
disabilities,502,0
possible,498,0
home,494,0
learning,494,0
local,490,0
development,485,0
able,483,0
increase,481,0
well,480,0
age,479,0
service,479,0
use,479,0
important,475,0
way,471,0
society,468,0
workers,464,0
employees,462,0
private,460,0
take,459,0
including,458,0
create,455,0
medical,448,0
teachers,446,0
law,441,0
conditions,440,0
future,437,0
without,435,0
especially,435,0
end,434,0
government,433,0
special,431,0
rights,431,0
funding,431,0
security,425,0
benefits,423,0
income,420,0
expand,420,0
protection,419,0
policy,419,0
community,414,0
strengthen,406,0
vocational,404,0
promote,401,0
program,400,0
research,395,0
party,11899,1
people,2488,1
new,2286,1
government,2279,1
local,1666,1
support,1485,1
ensure,1478,1
work,1477,1
public,1476,1
uk,1421,1
labour,1398,1
services,1310,1
also,1208,1
health,1165,1
tax,1135,1
social,1087,1
system,1071,1
education,1022,1
national,988,1
make,985,1
must,972,1
care,944,1
scotland,938,1
want,878,1
years,853,1
wales,844,1
need,799,1
would,786,1
nhs,782,1
help,778,1
parliament,777,1
eu,775,1
year,773,1
continue,745,1
pension,745,1
housing,723,1
snp,689,1
increase,684,1
service,684,1
schools,663,1
pay,662,1
every,635,1
investment,635,1
children,629,1
provide,621,1
give,621,1
britain,609,1
policy,603,1
programme,602,1
future,597,1
scottish,595,1
funding,591,1
per,583,1
young,574,1
including,572,1
time,572,1
first,567,1
introduce,567,1
working,565,1
needs,563,1
use,563,1
better,562,1
british,561,1
many,549,1
sector,548,1
take,538,1
end,537,1
set,536,1
economy,532,1
transport,524,1
northern,524,1
country,517,1
free,516,1
community,513,1
jobs,509,1
private,508,1
million,508,1
development,507,1
rights,506,1
one,504,1
training,503,1
income,502,1
ireland,495,1
right,491,1
improve,488,1
standards,486,1
billion,486,1
communities,485,1
state,480,1
areas,480,1
next,478,1
mps,476,1
european,467,1
welsh,464,1
women,461,1
authorities,460,1
access,459,1
benefit,448,1
powers,437,1
economic,432,1
party,31620,2
ensure,2351,2
public,2320,2
social,1733,2
education,1728,2
support,1517,2
system,1367,2
increase,1340,2
services,1335,2
development,1218,2
new,1187,2
health,1166,2
sector,1086,2
people,1079,2
production,1078,2
make,1073,2
citizens,991,2
established,974,2
order,923,2
national,881,2
provide,871,2
local,863,2
made,854,2
use,846,2
security,824,2
country,809,2
work,806,2
rights,781,2
employment,775,2
ensured,772,2
establish,766,2
institutions,754,2
resources,751,2
areas,747,2
effective,746,2
economic,734,2
within,716,2
tax,715,2
infrastructure,706,2
transportation,681,2
policies,680,2
continue,677,2
state,674,2
provided,662,2
private,662,2
activities,660,2
international,659,2
necessary,658,2
law,654,2
financial,639,2
quality,633,2
energy,613,2
centers,612,2
information,611,2
high,607,2
projects,604,2
agricultural,602,2
develop,595,2
training,594,2
policy,578,2
life,572,2
legal,557,2
prevent,555,2
management,549,2
society,541,2
women,539,2
implement,538,2
based,537,2
create,535,2
technology,532,2
service,530,2
free,530,2
structure,525,2
improve,524,2
increased,523,2
end,521,2
turkish,516,2
cultural,514,2
programs,502,2
organizations,501,2
sports,500,2
investment,500,2
developed,496,2
young,493,2
labor,491,2
investments,491,2
conditions,488,2
tourism,486,2
foreign,480,2
cooperation,479,2
products,476,2
workers,475,2
economy,469,2
strengthen,467,2
working,467,2
measures,464,2
industry,463,2
framework,460,2
also,449,2
political,441,2
party,4169,3
federal,1608,3
american,1261,3
must,1210,3
government,1191,3
tax,1176,3
support,1042,3
president,1040,3
administration,974,3
people,956,3
new,934,3
democrats,922,3
americans,911,3
states,841,3
health,809,3
national,805,3
years,729,3
security,724,3
republican,724,3
congress,717,3
law,701,3
public,698,3
rights,678,3
programs,659,3
state,645,3
economic,637,3
work,623,3
make,622,3
republicans,598,3
system,579,3
families,576,3
also,560,3
care,556,3
act,553,3
jobs,521,3
workers,502,3
military,497,3
efforts,491,3
economy,490,3
policy,476,3
believe,457,3
united,455,3
every,454,3
protect,453,3
including,450,3
time,446,3
need,446,3
world,446,3
citizens,443,3
would,429,3
