2-gram,Frequency,Cluster
"('young', 'people')",667,0
"('health', 'care')",658,0
"('people', 'disabilities')",264,0
"('health', 'insurance')",260,0
"('mental', 'health')",255,0
"('party', 'continue')",231,0
"('social', 'security')",220,0
"('party', 'ensure')",216,0
"('labor', 'market')",185,0
"('must', 'also')",181,0
"('higher', 'education')",179,0
"('vocational', 'training')",174,0
"('party', 'provide')",168,0
"('continuing', 'education')",167,0
"('longterm', 'care')",163,0
"('daycare', 'centers')",156,0
"('health', 'services')",153,0
"('need', 'care')",148,0
"('children', 'young')",147,0
"('party', 'also')",145,0
"('want', 'strengthen')",145,0
"('education', 'system')",133,0
"('party', 'make')",131,0
"('free', 'democrats')",130,0
"('every', 'child')",126,0
"('rural', 'areas')",123,0
"('also', 'want')",123,0
"('care', 'services')",122,0
"('federal', 'government')",122,0
"('working', 'hours')",120,0
"('working', 'conditions')",117,0
"('older', 'people')",115,0
"('care', 'insurance')",110,0
"('care', 'system')",109,0
"('want', 'make')",109,0
"('medical', 'care')",108,0
"('education', 'training')",107,0
"('people', 'need')",105,0
"('party', 'support')",103,0
"('old', 'age')",102,0
"('party', 'increase')",101,0
"('disabled', 'people')",96,0
"('make', 'easier')",96,0
"('want', 'create')",96,0
"('want', 'improve')",94,0
"('early', 'childhood')",93,0
"('party', 'expand')",90,0
"('want', 'expand')",90,0
"('lifelong', 'learning')",86,0
"('party', 'work')",83,0
"('education', 'party')",82,0
"('equal', 'opportunities')",81,0
"('many', 'people')",78,0
"('high', 'school')",77,0
"('private', 'sector')",77,0
"('want', 'ensure')",74,0
"('federal', 'state')",74,0
"('die', 'linke')",74,0
"('free', 'charge')",73,0
"('single', 'parents')",73,0
"('state', 'local')",73,0
"('public', 'services')",72,0
"('cdu', 'csu')",72,0
"('make', 'sure')",71,0
"('party', 'help')",71,0
"('child', 'care')",71,0
"('children', 'need')",70,0
"('end', 'want')",70,0
"('party', 'create')",69,0
"('social', 'assistance')",68,0
"('public', 'health')",68,0
"('educational', 'institutions')",68,0
"('health', 'safety')",68,0
"('skilled', 'workers')",67,0
"('working', 'time')",67,0
"('want', 'promote')",66,0
"('social', 'services')",64,0
"('must', 'become')",64,0
"('support', 'children')",63,0
"('also', 'includes')",63,0
"('want', 'support')",63,0
"('must', 'able')",63,0
"('women', 'men')",62,0
"('healthcare', 'system')",62,0
"('care', 'party')",61,0
"('educational', 'opportunities')",61,0
"('support', 'services')",61,0
"('health', 'centers')",60,0
"('affordable', 'housing')",60,0
"('democrats', 'want')",60,0
"('improve', 'quality')",59,0
"('quality', 'life')",59,0
"('secondary', 'education')",59,0
"('therefore', 'want')",59,0
"('quality', 'education')",58,0
"('vocational', 'education')",58,0
"('working', 'life')",58,0
"('preschool', 'education')",57,0
"('party', 'improve')",57,0
"('social', 'insurance')",57,0
"('party', 'also')",498,1
"('party', 'continue')",491,1
"('northern', 'ireland')",459,1
"('labour', 'party')",437,1
"('party', 'ensure')",433,1
"('young', 'people')",378,1
"('government', 'party')",365,1
"('per', 'cent')",328,1
"('uk', 'government')",328,1
"('local', 'authorities')",319,1
"('plaid', 'cymru')",285,1
"('snp', 'mps')",279,1
"('mps', 'party')",274,1
"('labour', 'government')",257,1
"('public', 'services')",251,1
"('party', 'introduce')",250,1
