1-gram,Frequency,Cluster
party,13983,0
must,3963,0
people,2133,0
government,2014,0
law,2009,0
rights,1983,0
public,1939,0
want,1907,0
state,1831,0
policy,1566,0
new,1560,0
also,1468,0
security,1451,0
political,1440,0
social,1364,0
national,1352,0
support,1327,0
right,1230,0
system,1199,0
international,1193,0
nuclear,1153,0
use,1139,0
end,1101,0
citizens,1087,0
states,1082,0
without,1072,0
ensure,1070,0
protection,1039,0
federal,1039,0
european,1032,0
country,1006,0
work,984,0
eu,965,0
human,936,0
make,913,0
would,852,0
legal,849,0
freedom,848,0
society,847,0
health,845,0
power,839,0
world,826,0
free,823,0
order,800,0
economic,789,0
need,756,0
development,750,0
act,750,0
services,741,0
democratic,739,0
foreign,737,0
military,728,0
control,721,0
education,707,0
weapons,698,0
prevent,691,0
us,668,0
reject,667,0
believe,666,0
countries,662,0
union,660,0
way,655,0
crime,651,0
take,649,0
protect,645,0
local,635,0
time,633,0
united,632,0
future,623,0
administration,623,0
one,622,0
continue,621,0
europe,620,0
fight,620,0
interests,619,0
necessary,615,0
made,612,0
tax,608,0
democracy,606,0
measures,598,0
life,593,0
energy,589,0
oppose,587,0
therefore,586,0
civil,574,0
peace,574,0
private,571,0
justice,568,0
based,564,0
american,550,0
possible,548,0
effective,548,0
trade,538,0
criminal,538,0
parties,535,0
change,535,0
president,534,0
german,533,0
police,531,0
including,527,0
party,5054,1
agricultural,1836,1
rural,1256,1
development,1179,1
production,1031,1
agriculture,1005,1
areas,978,1
food,943,1
farmers,941,1
support,915,1
environmental,852,1
want,783,1
must,776,1
products,762,1
new,754,1
protection,725,1
use,714,1
also,696,1
policy,688,1
water,676,1
land,676,1
local,621,1
ensure,597,1
animal,583,1
social,558,1
public,557,1
environment,550,1
resources,541,1
management,515,1
sustainable,487,1
national,473,1
sector,472,1
energy,455,1
natural,447,1
quality,441,1
farming,436,1
economic,435,1
nature,434,1
services,394,1
protect,391,1
health,385,1
people,370,1
system,362,1
country,361,1
order,361,1
conservation,360,1
state,352,1
government,351,1
work,340,1
conditions,330,1
climate,330,1
promote,325,1
make,323,1
economy,320,1
forest,320,1
research,318,1
market,308,1
eu,308,1
provide,307,1
green,307,1
measures,306,1
industry,303,1
regional,300,1
farm,299,1
continue,299,1
policies,293,1
future,288,1
livestock,287,1
small,283,1
ecological,282,1
improve,278,1
increase,275,1
needs,274,1
infrastructure,262,1
forests,262,1
create,258,1
standards,255,1
need,251,1
european,251,1
countryside,249,1
welfare,249,1
communities,248,1
important,245,1
develop,243,1
control,238,1
life,238,1
effective,237,1
projects,237,1
waste,236,1
implementation,236,1
animals,236,1
world,235,1
well,235,1
farms,229,1
including,226,1
information,226,1
way,224,1
reduce,220,1
law,219,1
education,218,1
party,9526,2
must,2515,2
european,2258,2
new,1927,2
public,1685,2
policy,1638,2
national,1373,2
want,1326,2
government,1307,2
development,1278,2
security,1248,2
also,1232,2
law,1231,2
eu,1220,2
system,1149,2
rights,1069,2
social,1053,2
state,1050,2
ensure,1027,2
international,1022,2
local,854,2
europe,838,2
support,828,2
political,826,2
federal,799,2
protection,768,2
order,756,2
work,742,2
services,736,2
country,731,2
economic,705,2
union,700,2
foreign,683,2
institutions,674,2
citizens,673,2
cooperation,671,2
framework,658,2
control,650,2
necessary,625,2
energy,608,2
states,599,2
need,595,2
make,594,2
people,591,2
within,582,2
countries,581,2
use,573,2
education,569,2
