1-gram,Frequency,Cluster
party,16649,0
new,4603,0
education,3830,0
development,2622,0
people,2596,0
support,2574,0
want,2479,0
must,2222,0
also,2198,0
social,2152,0
public,2102,0
increase,1967,0
training,1748,0
services,1708,0
ensure,1642,0
research,1632,0
work,1604,0
economic,1563,0
economy,1523,0
make,1451,0
energy,1441,0
system,1401,0
country,1399,0
sector,1367,0
national,1350,0
schools,1291,0
health,1288,0
young,1244,0
technology,1224,0
opportunities,1223,0
investment,1182,0
use,1176,0
infrastructure,1175,0
need,1154,0
local,1146,0
order,1142,0
create,1113,0
policy,1108,0
world,1087,0
quality,1081,0
increased,1080,0
continue,1059,0
future,1047,0
provide,1046,0
production,1041,0
employment,1028,0
government,1027,0
high,1013,0
needs,1006,0
improve,998,0
areas,997,0
school,996,0
society,996,0
industry,980,0
growth,976,0
strengthen,951,0
international,947,0
business,943,0
cultural,932,0
children,920,0
better,919,0
jobs,914,0
life,908,0
state,887,0
information,887,0
develop,886,0
important,886,0
resources,879,0
care,874,0
sports,872,0
universities,868,0
private,862,0
time,839,0
technologies,833,0
students,831,0
market,831,0
innovation,821,0
access,811,0
companies,801,0
years,797,0
institutions,795,0
promote,794,0
women,789,0
programs,775,0
tourism,773,0
federal,763,0
well,760,0
way,746,0
youth,733,0
modern,733,0
conditions,732,0
funding,730,0
every,726,0
citizens,725,0
help,725,0
expand,717,0
number,715,0
cooperation,708,0
projects,704,0
level,703,0
party,11878,1
tax,2458,1
must,2138,1
public,2088,1
new,1897,1
want,1676,1
government,1555,1
end,1535,1
system,1513,1
people,1270,1
social,1223,1
health,1136,1
services,1127,1
state,1121,1
also,1105,1
law,1051,1
support,1046,1
ensure,1038,1
policy,994,1
education,970,1
work,969,1
reduce,964,1
use,960,1
local,923,1
national,921,1
energy,916,1
make,848,1
years,811,1
rights,800,1
federal,794,1
development,785,1
economic,731,1
care,702,1
time,695,1
security,672,1
order,662,1
sector,640,1
reduced,637,1
citizens,636,1
reform,633,1
income,631,1
country,613,1
service,610,1
private,605,1
need,603,1
act,598,1
increase,597,1
would,595,1
made,589,1
protection,586,1
free,576,1
areas,572,1
put,565,1
reduction,564,1
political,563,1
abolish,562,1
power,557,1
control,556,1
right,541,1
measures,537,1
first,532,1
companies,530,1
abolished,529,1
way,516,1
administration,513,1
legal,511,1
economy,509,1
nuclear,509,1
number,509,1
year,507,1
international,500,1
one,497,1
take,497,1
resources,490,1
including,479,1
financial,474,1
employment,472,1
labour,469,1
investment,467,1
rate,467,1
within,466,1
change,460,1
policies,454,1
necessary,453,1
production,447,1
percent,445,1
parliament,444,1
working,444,1
schools,439,1
uk,437,1
provide,435,1
without,435,1
management,432,1
future,431,1
per,431,1
current,429,1
women,427,1
eu,425,1
european,421,1
trade,417,1
party,15976,2
development,2404,2
new,2394,2
public,2142,2
national,1786,2
local,1708,2
system,1652,2
support,1628,2
health,1484,2
services,1404,2
government,1382,2
ensure,1377,2
education,1294,2
social,1272,2
policy,1229,2
energy,1089,2
state,1056,2
country,1047,2
areas,977,2
management,970,2
law,967,2
regional,934,2
projects,929,2
sector,925,2
within,913,2
use,881,2
must,870,2
production,864,2
resources,850,2
established,842,2
implementation,815,2
water,815,2
infrastructure,811,2
project,806,2
work,787,2
order,783,2
also,781,2
international,770,2
economic,767,2
increase,756,2
framework,739,2
people,734,2
european,729,2
years,706,2
protection,702,2
rights,698,2
increased,697,2
continue,695,2
establish,686,2
agricultural,679,2
first,676,2
cooperation,673,2
million,665,2
service,662,2
provide,654,2
policies,652,2
make,650,2
environmental,649,2
institutions,644,2
care,633,2
establishment,632,2
made,625,2
planning,623,2
develop,620,2
quality,616,2
information,615,2
research,610,2
security,609,2
plan,606,2
tourism,605,2
private,603,2
effective,600,2
control,599,2
billion,596,2
investment,593,2
activities,587,2
citizens,586,2
measures,582,2
based,580,2
countries,578,2
period,578,2
needs,577,2
standards,565,2
number,560,2
construction,554,2
cultural,543,2
rural,541,2
world,541,2
create,540,2
including,531,2
financial,530,2
transport,529,2
necessary,528,2
level,524,2
ministry,520,2
reform,517,2
administration,512,2
environment,508,2
turkish,507,2
creation,506,2
party,12996,3
people,2776,3
must,2675,3
social,2481,3
rights,2325,3
public,2063,3
ensure,1965,3
support,1939,3
also,1850,3
security,1800,3
society,1796,3
policy,1795,3
want,1758,3
health,1715,3
citizens,1709,3
state,1682,3
country,1665,3
economic,1571,3
development,1543,3
government,1467,3
national,1411,3
work,1374,3
law,1373,3
world,1372,3
life,1324,3
education,1319,3
new,1291,3
protection,1259,3
right,1200,3
human,1169,3
services,1164,3
care,1161,3
make,1148,3
political,1141,3
continue,1115,3
system,1105,3
freedom,1099,3
international,1079,3
peace,1058,3
free,987,3
cultural,986,3
future,963,3
quality,947,3
important,927,3
every,911,3
democratic,877,3
protect,877,3
strong,876,3
need,865,3
economy,860,3
environment,860,3
democracy,856,3
order,847,3
culture,843,3
local,821,3
one,821,3
good,816,3
nation,778,3
us,771,3
values,769,3
way,760,3
believe,758,3
states,749,3
policies,747,3
effective,746,3
based,745,3
cooperation,745,3
federal,745,3
foreign,744,3
american,740,3
justice,729,3
use,705,3
equal,704,3
areas,703,3
children,696,3
resources,694,3
strengthen,687,3
countries,687,3
well,676,3
civil,666,3
committed,648,3
needs,642,3
environmental,642,3
responsibility,640,3
without,638,3
provide,634,3
energy,629,3
necessary,625,3
communities,624,3
service,620,3
better,619,3
institutions,617,3
time,613,3
nations,607,3
promote,604,3
relations,604,3
fundamental,602,3
conditions,598,3
respect,595,3
fair,589,3
party,6132,4
people,2986,4
social,1816,4
government,1782,4
must,1765,4
economic,1676,4
years,1576,4
many,1570,4
public,1533,4
new,1483,4
economy,1480,4
country,1449,4
also,1415,4
state,1168,4
system,1139,4
tax,1133,4
health,1119,4
policy,1076,4
want,1071,4
work,1060,4
time,1024,4
society,973,4
crisis,909,4
need,906,4
education,906,4
world,905,4
one,898,4
national,835,4
care,816,4
development,803,4
high,794,4
children,773,4
would,765,4
services,763,4
political,749,4
future,742,4
financial,742,4
market,740,4
without,737,4
growth,734,4
even,725,4
citizens,725,4
life,718,4
problems,715,4
security,704,4
make,703,4
jobs,693,4
sector,675,4
unemployment,651,4
women,641,4
way,638,4
support,638,4
increase,636,4
federal,633,4
year,632,4
private,625,4
policies,623,4
every,616,4
needs,608,4
countries,597,4
today,588,4
power,587,4
poverty,577,4
billion,577,4
housing,576,4
us,572,4
change,571,4
young,567,4
labour,567,4
income,543,4
companies,540,4
american,538,4
million,537,4
percent,532,4
since,527,4
families,519,4
become,514,4
resources,511,4
last,511,4
working,508,4
money,508,4
debt,496,4
investment,490,4
administration,488,4
energy,485,4
employment,484,4
often,481,4
areas,475,4
still,472,4
pay,469,4
rate,467,4
number,466,4
workers,457,4
inflation,456,4
better,455,4
international,455,4
conditions,454,4
made,453,4
business,453,4
take,452,4
party,11909,5
must,2851,5
people,1954,5
government,1754,5
rights,1618,5
state,1434,5
public,1416,5
policy,1403,5
law,1371,5
support,1304,5
national,1276,5
new,1272,5
also,1216,5
political,1215,5
want,1183,5
security,1111,5
social,1056,5
international,1047,5
right,1014,5
country,981,5
states,934,5
without,932,5
world,905,5
system,894,5
federal,881,5
ensure,866,5
health,864,5
use,863,5
citizens,835,5
protection,826,5
economic,807,5
human,771,5
development,767,5
work,766,5
make,765,5
american,754,5
freedom,731,5
society,712,5
foreign,706,5
believe,706,5
one,702,5
free,699,5
continue,697,5
need,679,5
power,664,5
would,663,5
oppose,662,5
nuclear,661,5
us,656,5
president,645,5
united,640,5
democratic,633,5
future,627,5
military,621,5
education,617,5
administration,606,5
years,600,5
interests,598,5
reject,586,5
time,585,5
women,579,5
countries,575,5
energy,574,5
nations,567,5
protect,564,5
order,557,5
services,551,5
way,541,5
end,534,5
life,525,5
take,522,5
fight,520,5
children,520,5
peace,519,5
care,518,5
control,516,5
every,512,5
private,506,5
legal,505,5
nation,505,5
democrats,503,5
act,499,5
many,496,5
necessary,494,5
trade,493,5
based,492,5
policies,487,5
democracy,482,5
parties,482,5
made,472,5
forces,470,5
including,468,5
local,464,5
war,463,5
prevent,456,5
governments,455,5
efforts,453,5
possible,452,5
first,451,5
justice,451,5
party,13498,6
people,3310,6
tax,3027,6
social,2917,6
support,2442,6
work,2279,6
must,2173,6
want,2080,6
public,2022,6
education,1910,6
care,1863,6
also,1826,6
income,1781,6
new,1720,6
children,1618,6
health,1606,6
ensure,1548,6
insurance,1524,6
system,1466,6
services,1441,6
employment,1301,6
state,1276,6
pension,1275,6
provide,1258,6
make,1213,6
need,1181,6
government,1164,6
housing,1147,6
citizens,1135,6
free,1123,6
families,1120,6
pay,1113,6
benefit,1090,6
security,1078,6
working,1065,6
increase,1035,6
family,1026,6
local,998,6
without,995,6
time,968,6
benefits,966,6
workers,958,6
private,945,6
child,937,6
right,928,6
training,902,6
young,897,6
help,883,6
women,849,6
rights,844,6
sector,815,6
financial,805,6
development,793,6
use,790,6
policy,779,6
economic,774,6
years,761,6
life,753,6
employees,743,6
minimum,729,6
wage,725,6
basic,720,6
disabled,713,6
needs,713,6
one,704,6
companies,689,6
per,688,6
economy,687,6
order,685,6
age,683,6
national,682,6
parents,681,6
provided,680,6
market,680,6
federal,677,6
year,675,6
law,672,6
unemployment,663,6
every,662,6
access,658,6
way,657,6
schools,656,6
jobs,651,6
would,643,6
paid,636,6
first,634,6
special,631,6
service,630,6
future,630,6
costs,626,6
school,625,6
conditions,624,6
million,624,6
living,615,6
students,610,6
protection,609,6
small,606,6
made,603,6
increased,597,6
poverty,592,6
party,5163,7
european,3401,7
eu,2756,7
must,2431,7
want,2093,7
europe,2043,7
german,1812,7
policy,1696,7
also,1293,7
social,1261,7
new,1198,7
union,985,7
development,929,7
economic,924,7
security,912,7
rights,906,7
people,887,7
international,858,7
states,843,7
countries,836,7
government,779,7
law,763,7
world,759,7
future,727,7
federal,709,7
country,676,7
work,667,7
national,651,7
support,648,7
state,624,7
cooperation,610,7
protection,605,7
market,567,7
citizens,554,7
trade,540,7
make,539,7
ensure,539,7
foreign,534,7
energy,516,7
order,511,7
economy,501,7
public,492,7
political,486,7
continue,483,7
society,477,7
need,474,7
free,470,7
time,464,7
member,458,7
global,452,7
common,450,7
strengthen,444,7
system,442,7
human,436,7
climate,434,7
therefore,434,7
level,432,7
way,432,7
peace,428,7
tax,416,7
important,413,7
well,413,7
us,412,7
democratic,400,7
end,391,7
within,386,7
change,380,7
germanys,377,7
committed,376,7
britain,372,7
use,367,7
crisis,363,7
one,360,7
cultural,359,7
framework,358,7
interests,357,7
right,354,7
financial,347,7
companies,347,7
education,347,7
better,347,7
together,344,7
responsibility,342,7
democracy,339,7
years,339,7
possible,337,7
take,336,7
uk,329,7
strong,325,7
part,319,7
freedom,315,7
standards,315,7
opportunities,312,7
nato,312,7
conditions,308,7
without,306,7
power,304,7
reform,302,7
legal,299,7
services,299,7
