2-gram,Frequency,Cluster
"('young', 'people')",861,0
"('party', 'continue')",633,0
"('party', 'increase')",561,0
"('party', 'ensure')",553,0
"('higher', 'education')",422,0
"('party', 'make')",396,0
"('party', 'also')",370,0
"('private', 'sector')",343,0
"('party', 'party')",312,0
"('party', 'support')",312,0
"('party', 'provide')",263,0
"('party', 'create')",250,0
"('party', 'increased')",241,0
"('party', 'establish')",237,0
"('research', 'development')",234,0
"('new', 'technologies')",232,0
"('party', 'established')",228,0
"('public', 'sector')",224,0
"('education', 'party')",224,0
"('education', 'system')",223,0
"('vocational', 'training')",221,0
"('party', 'encourage')",215,0
"('new', 'jobs')",207,0
"('party', 'strengthen')",201,0
"('economic', 'growth')",195,0
"('party', 'develop')",194,0
"('party', 'expand')",193,0
"('science', 'technology')",191,0
"('health', 'care')",188,0
"('labor', 'market')",186,0
"('party', 'ensured')",182,0
"('increase', 'number')",181,0
"('party', 'improve')",180,0
"('party', 'encouraged')",177,0
"('education', 'training')",175,0
"('must', 'also')",175,0
"('small', 'mediumsized')",173,0
"('party', 'made')",169,0
"('want', 'strengthen')",169,0
"('quality', 'life')",165,0
"('people', 'disabilities')",163,0
"('party', 'work')",161,0
"('rural', 'areas')",156,0
"('sector', 'party')",156,0
"('create', 'new')",155,0
"('economic', 'social')",148,0
"('party', 'take')",148,0
"('social', 'security')",148,0
"('within', 'framework')",148,0
"('northern', 'ireland')",147,0
"('information', 'society')",144,0
"('system', 'party')",144,0
"('lifelong', 'learning')",144,0
"('vocational', 'education')",144,0
"('federal', 'government')",144,0
"('public', 'services')",143,0
"('human', 'resources')",143,0
"('added', 'value')",141,0
"('party', 'give')",138,0
"('public', 'transport')",138,0
"('local', 'authorities')",137,0
"('continuing', 'education')",133,0
"('party', 'help')",133,0
"('mediumsized', 'enterprises')",131,0
"('also', 'want')",130,0
"('secondary', 'education')",128,0
"('party', 'developed')",125,0
"('mental', 'health')",125,0
"('people', 'party')",120,0
"('economic', 'development')",119,0
"('party', 'become')",119,0
"('party', 'provided')",118,0
"('services', 'party')",116,0
"('renewable', 'energy')",116,0
"('public', 'private')",114,0
"('coming', 'period')",114,0
"('civil', 'society')",113,0
"('party', 'implement')",112,0
"('party', 'improved')",112,0
"('party', 'given')",112,0
"('party', 'enable')",110,0
"('high', 'quality')",110,0
"('labour', 'party')",110,0
"('party', 'promote')",108,0
"('four', 'years')",108,0
"('21st', 'century')",105,0
"('improve', 'quality')",105,0
"('sports', 'facilities')",105,0
"('working', 'conditions')",104,0
"('energy', 'efficiency')",103,0
"('recent', 'years')",102,0
"('high', 'valueadded')",101,0
"('want', 'make')",101,0
"('per', 'cent')",101,0
"('government', 'party')",100,0
"('renewable', 'energies')",100,0
"('labor', 'force')",99,0
"('european', 'union')",99,0
"('framework', 'conditions')",99,0
"('want', 'promote')",99,0
"('put', 'end')",286,1
"('party', 'ensure')",267,1
"('party', 'also')",252,1
"('party', 'put')",218,1
"('public', 'sector')",216,1
"('social', 'security')",211,1
