1-gram,Frequency,Cluster
party,11908,0
public,1883,0
social,1827,0
development,1719,0
new,1662,0
system,1356,0
national,1342,0
state,1305,0
education,1283,0
people,1199,0
economic,1158,0
order,1093,0
policy,1090,0
ensure,1065,0
support,1065,0
country,1063,0
services,1008,0
health,989,0
rights,956,0
citizens,900,0
government,869,0
security,854,0
international,824,0
sector,813,0
political,808,0
european,796,0
production,784,0
society,753,0
law,751,0
economy,747,0
also,730,0
energy,712,0
local,709,0
must,697,0
use,695,0
resources,672,0
increase,662,0
world,649,0
work,632,0
within,628,0
infrastructure,607,0
countries,604,0
based,599,0
necessary,594,0
tax,594,0
quality,592,0
foreign,591,0
framework,588,0
policies,582,0
effective,582,0
cultural,570,0
areas,567,0
life,561,0
established,554,0
institutions,549,0
measures,547,0
environment,540,0
high,536,0
private,534,0
financial,531,0
management,530,0
human,527,0
years,523,0
make,521,0
employment,517,0
cooperation,508,0
time,507,0
information,504,0
implementation,502,0
needs,496,0
level,495,0
investment,495,0
conditions,494,0
care,490,0
protection,490,0
tourism,490,0
made,487,0
one,483,0
well,479,0
democratic,475,0
right,473,0
projects,472,0
training,467,0
problems,456,0
control,452,0
service,450,0
turkish,448,0
administration,447,0
regional,446,0
without,445,0
provide,443,0
provided,442,0
increased,428,0
activities,423,0
culture,420,0
agricultural,416,0
believe,415,0
ensured,410,0
children,407,0
way,407,0
party,8882,1
people,1442,1
government,1381,1
new,1376,1
european,1152,1
country,1100,1
eu,981,1
policy,976,1
national,919,1
also,902,1
must,894,1
state,824,1
support,819,1
social,809,1
economic,790,1
world,773,1
political,769,1
public,721,1
years,714,1
international,692,1
rights,689,1
countries,680,1
want,675,1
system,667,1
development,647,1
security,613,1
work,604,1
law,588,1
citizens,583,1
europe,570,1
one,562,1
time,542,1
would,539,1
union,536,1
greek,526,1
continue,524,1
make,503,1
future,500,1
economy,499,1
uk,494,1
first,493,1
states,491,1
tax,485,1
order,475,1
power,474,1
foreign,470,1
us,464,1
many,456,1
without,444,1
way,435,1
free,430,1
end,424,1
parliament,415,1
trade,414,1
democratic,407,1
health,397,1
billion,392,1
ensure,391,1
crisis,387,1
within,386,1
education,382,1
society,376,1
well,364,1
scotland,361,1
right,360,1
peace,359,1
turkish,357,1
need,345,1
million,337,1
every,336,1
policies,333,1
german,331,1
sector,329,1
take,328,1
president,328,1
governments,327,1
energy,327,1
human,326,1
made,326,1
forces,324,1
even,323,1
including,323,1
project,321,1
nation,317,1
life,316,1
cooperation,313,1
high,311,1
two,311,1
northern,311,1
administration,308,1
relations,307,1
period,306,1
military,306,1
federal,305,1
use,302,1
nations,301,1
since,300,1
services,300,1
united,300,1
democracy,297,1
party,4176,2
must,3053,2
want,2011,2
also,1597,2
public,1403,2
new,1312,2
tax,1239,2
support,1203,2
social,1111,2
education,1019,2
development,966,2
system,934,2
state,910,2
services,885,2
law,864,2
protection,858,2
health,824,2
work,811,2
policy,774,2
federal,725,2
use,720,2
care,712,2
training,684,2
energy,683,2
people,679,2
companies,641,2
national,638,2
government,635,2
ensure,624,2
need,572,2
research,567,2
private,562,2
market,555,2
citizens,554,2
financial,553,2
areas,552,2
local,551,2
security,545,2
insurance,526,2
economic,522,2
rights,521,2
employment,520,2
provide,499,2
funding,488,2
measures,481,2
sector,480,2
increase,478,2
control,466,2
end,462,2
make,461,2
without,460,2
therefore,450,2
conditions,449,2
continue,446,2
legal,444,2
special,437,2
infrastructure,434,2
order,432,2
service,429,2
future,427,2
management,423,2
strengthen,421,2
necessary,419,2
level,415,2
quality,415,2
children,414,2
housing,412,2
free,409,2
time,407,2
right,404,2
eu,403,2
needs,402,2
schools,401,2
income,400,2
important,395,2
well,394,2
investment,391,2
better,387,2
european,386,2
environmental,386,2
high,384,2
funds,383,2
business,381,2
school,381,2
information,380,2
data,375,2
promote,372,2
institutions,372,2
create,371,2
access,368,2
country,366,2
transport,366,2
framework,363,2
production,361,2
products,359,2
resources,358,2
projects,357,2
