2-gram,Frequency,Cluster
"('party', 'established')",340,0
"('party', 'ensured')",331,0
"('young', 'people')",274,0
"('party', 'party')",271,0
"('party', 'continue')",257,0
"('party', 'ensure')",246,0
"('within', 'framework')",233,0
"('party', 'made')",230,0
"('party', 'provided')",209,0
"('system', 'party')",198,0
"('european', 'union')",190,0
"('human', 'rights')",188,0
"('party', 'increased')",187,0
"('social', 'security')",183,0
"('private', 'sector')",180,0
"('public', 'sector')",174,0
"('foreign', 'policy')",167,0
"('economic', 'social')",166,0
"('party', 'developed')",159,0
"('party', 'encouraged')",139,0
"('health', 'care')",135,0
"('party', 'given')",135,0
"('services', 'party')",134,0
"('civil', 'society')",132,0
"('taking', 'account')",132,0
"('rights', 'freedoms')",130,0
"('party', 'also')",127,0
"('party', 'taken')",125,0
"('higher', 'education')",124,0
"('public', 'administration')",120,0
"('armed', 'forces')",118,0
"('rule', 'law')",115,0
"('party', 'make')",115,0
"('country', 'party')",111,0
"('party', 'eliminated')",111,0
"('local', 'government')",109,0
"('party', 'implemented')",108,0
"('fundamental', 'rights')",108,0
"('united', 'states')",101,0
"('within', 'scope')",100,0
"('education', 'party')",98,0
"('party', 'increase')",95,0
"('policy', 'party')",94,0
"('party', 'prevented')",93,0
"('nationalist', 'movement')",93,0
"('republic', 'party')",91,0
"('party', 'created')",91,0
"('party', 'work')",90,0
"('policies', 'party')",90,0
"('quality', 'life')",89,0
"('people', 'disabilities')",88,0
"('movement', 'party')",87,0
"('local', 'governments')",86,0
"('turkish', 'nation')",86,0
"('party', 'put')",85,0
"('public', 'services')",83,0
"('measures', 'party')",83,0
"('order', 'ensure')",83,0
"('health', 'services')",82,0
"('party', 'support')",81,0
"('local', 'authorities')",81,0
"('party', 'improved')",77,0
"('party', 'strengthened')",76,0
"('party', 'become')",76,0
"('citizens', 'party')",75,0
"('party', 'establish')",74,0
"('party', 'take')",73,0
"('sector', 'party')",72,0
"('government', 'party')",72,0
"('party', 'provide')",71,0
"('party', 'able')",71,0
"('economic', 'growth')",71,0
"('public', 'private')",70,0
