2-gram,Frequency,Cluster
"('per', 'cent')",254,0
"('billion', 'tl')",217,0
"('billion', 'dollars')",167,0
"('per', 'year')",138,0
"('increased', 'number')",138,0
"('million', 'tl')",133,0
"('percent', '2002')",122,0
"('million', 'people')",98,0
"('billion', 'euros')",97,0
"('usd', 'billion')",85,0
"('party', 'increase')",83,0
"('2002', 'increased')",83,0
"('within', 'scope')",78,0
"('tax', 'rate')",73,0
"('first', 'time')",71,0
"('percent', 'percent')",70,0
"('1', 'billion')",68,0
"('young', 'people')",67,0
"('national', 'income')",67,0
"('euros', 'per')",67,0
"('social', 'security')",66,0
"('income', 'tax')",66,0
"('real', 'terms')",65,0
"('minimum', 'wage')",63,0
"('higher', 'education')",62,0
"('1', 'million')",61,0
"('private', 'sector')",61,0
"('per', 'capita')",59,0
"('thousand', 'people')",57,0
"('interest', 'rates')",55,0
"('2002', 'percent')",55,0
"('per', 'month')",52,0
"('public', 'sector')",52,0
"('tl', '2002')",50,0
"('last', 'year')",47,0
"('increased', 'percent')",46,0
"('million', 'tons')",46,0
"('every', 'year')",45,0
"('party', 'increased')",45,0
"('million', 'euros')",44,0
"('new', 'jobs')",43,0
"('total', 'number')",43,0
"('natural', 'gas')",42,0
"('class', 'roads')",42,0
"('five', 'years')",41,0
"('km', 'represents')",41,0
"('labor', 'force')",40,0
"('unemployment', 'rate')",40,0
"('million', 'hectares')",40,0
"('academic', 'year')",39,0
"('disabled', 'people')",38,0
"('2002', 'number')",38,0
"('recent', 'years')",38,0
"('percent', 'gdp')",37,0
"('end', '2002')",37,0
"('50', 'percent')",37,0
"('two', 'years')",37,0
"('drinking', 'water')",36,0
"('tl', 'billion')",36,0
"('growth', 'rate')",35,0
"('billion', '2002')",35,0
"('three', 'years')",35,0
"('billion', 'year')",35,0
"('debt', 'stock')",34,0
"('four', 'years')",34,0
"('rate', 'percent')",34,0
"('represents', 'total')",34,0
"('roads', 'region')",34,0
"('20', 'percent')",33,0
"('economic', 'growth')",33,0
"('european', 'union')",33,0
"('percent', 'real')",33,0
"('2', 'billion')",33,0
"('party', 'reach')",32,0
"('total', 'billion')",32,0
"('percent', '2014')",31,0
"('social', 'assistance')",30,0
"('dollars', '2002')",30,0
"('2002', 'reached')",30,0
"('percentage', 'points')",30,0
"('2', 'million')",30,0
"('interest', 'rate')",29,0
"('40', 'percent')",29,0
"('gross', 'domestic')",29,0
"('put', 'service')",29,0
"('party', 'continue')",29,0
"('secondary', 'education')",29,0
"('million', '2002')",29,0
"('increase', 'number')",29,0
"('rural', 'development')",29,0
"('domestic', 'product')",28,0
"('made', 'significant')",28,0
"('action', 'plan')",28,0
"('end', '2014')",28,0
"('tax', 'rates')",27,0
"('10', 'percent')",27,0
"('increased', 'total')",27,0
"('years', 'party')",26,0
"('one', 'million')",26,0
"('3', 'million')",26,0
"('party', 'continue')",494,1
"('party', 'also')",480,1
"('northern', 'ireland')",454,1
"('labour', 'party')",437,1
"('party', 'ensure')",413,1
"('government', 'party')",344,1
"('uk', 'government')",326,1
"('local', 'authorities')",319,1
"('young', 'people')",312,1
"('plaid', 'cymru')",287,1
"('per', 'cent')",286,1
"('snp', 'mps')",282,1
"('mps', 'party')",274,1
"('party', 'work')",247,1
"('party', 'introduce')",246,1
"('party', 'support')",241,1
