1-gram,Frequency,Cluster
party,10320,0
must,2478,0
people,1721,0
government,1689,0
rights,1433,0
state,1281,0
law,1279,0
public,1265,0
policy,1210,0
new,1157,0
support,1151,0
national,1119,0
political,1089,0
also,1044,0
want,1032,0
security,952,0
right,928,0
social,915,0
international,905,0
country,861,0
federal,851,0
states,845,0
system,818,0
without,812,0
use,796,0
world,781,0
ensure,743,0
health,740,0
citizens,738,0
protection,719,0
economic,705,0
development,687,0
american,678,0
work,677,0
make,677,0
human,671,0
would,666,0
oppose,651,0
nuclear,648,0
foreign,627,0
one,625,0
free,619,0
believe,615,0
power,614,0
freedom,609,0
society,604,0
us,599,0
reject,594,0
president,590,0
need,588,0
continue,576,0
administration,569,0
years,561,0
education,560,0
military,547,0
united,545,0
time,543,0
future,540,0
energy,536,0
women,534,0
interests,527,0
democratic,521,0
countries,516,0
order,498,0
end,484,0
protect,479,0
take,474,0
nations,474,0
children,473,0
way,473,0
private,472,0
services,471,0
legal,471,0
many,467,0
control,464,0
care,464,0
act,464,0
fight,463,0
democrats,461,0
life,456,0
trade,456,0
policies,446,0
made,442,0
every,442,0
parties,439,0
european,438,0
including,433,0
necessary,432,0
tax,426,0
even,425,0
first,424,0
governments,421,0
forces,419,0
local,414,0
democracy,411,0
war,409,0
prevent,406,0
efforts,406,0
based,404,0
nation,404,0
party,5698,1
people,2885,1
social,1751,1
must,1661,1
government,1658,1
economic,1590,1
many,1541,1
years,1498,1
public,1421,1
new,1396,1
economy,1396,1
country,1382,1
also,1325,1
state,1118,1
system,1095,1
want,1046,1
work,1043,1
tax,1023,1
policy,1019,1
health,1009,1
time,992,1
society,918,1
education,898,1
crisis,868,1
world,853,1
one,850,1
need,839,1
national,784,1
development,770,1
high,759,1
care,758,1
children,754,1
would,720,1
without,719,1
future,715,1
political,714,1
financial,714,1
services,708,1
market,700,1
even,695,1
citizens,689,1
growth,688,1
women,684,1
life,682,1
problems,680,1
jobs,673,1
make,656,1
sector,655,1
security,651,1
unemployment,642,1
support,608,1
federal,604,1
way,600,1
increase,595,1
policies,588,1
year,587,1
private,585,1
young,577,1
every,569,1
needs,565,1
housing,562,1
today,561,1
countries,559,1
power,551,1
poverty,546,1
labour,545,1
us,536,1
change,527,1
percent,522,1
income,518,1
american,515,1
companies,508,1
become,502,1
families,494,1
working,492,1
since,490,1
last,487,1
often,482,1
billion,478,1
million,476,1
employment,472,1
resources,468,1
administration,462,1
still,458,1
debt,458,1
investment,457,1
money,454,1
law,449,1
pay,448,1
rate,445,1
number,441,1
workers,439,1
inflation,438,1
business,434,1
areas,432,1
end,431,1
rights,430,1
result,430,1
international,429,1
made,426,1
party,4871,2
european,3312,2
eu,2649,2
must,2416,2
want,2059,2
europe,1975,2
german,1807,2
policy,1654,2
also,1266,2
social,1223,2
new,1161,2
union,950,2
development,918,2
economic,893,2
rights,876,2
people,845,2
security,844,2
states,819,2
international,817,2
countries,791,2
government,762,2
law,758,2
federal,717,2
world,710,2
future,709,2
work,643,2
country,630,2
support,628,2
national,621,2
state,615,2
protection,603,2
cooperation,571,2
market,564,2
citizens,536,2
trade,524,2
ensure,518,2
make,510,2
foreign,509,2
order,497,2
energy,491,2
public,480,2
economy,476,2
society,466,2
need,463,2
political,461,2
free,454,2
time,448,2
continue,445,2
member,444,2
strengthen,439,2
system,439,2
common,434,2
tax,431,2
therefore,429,2
human,426,2
global,426,2
level,423,2
way,415,2
climate,407,2
well,401,2
peace,397,2
important,392,2
end,387,2
us,384,2
democratic,381,2
germanys,375,2
within,370,2
cultural,369,2
use,367,2
change,367,2
committed,359,2
crisis,357,2
britain,354,2
education,347,2
framework,344,2
financial,344,2
companies,341,2
one,341,2
responsibility,341,2
right,334,2
possible,332,2
together,331,2
better,331,2
take,329,2
interests,326,2
democracy,323,2
years,321,2
freedom,310,2
part,310,2
opportunities,305,2
strong,304,2
uk,304,2
legal,303,2
standards,301,2
services,300,2
without,299,2
reform,297,2
east,291,2
necessary,289,2
conditions,288,2
party,13345,3
new,4011,3
education,3501,3
people,2306,3
development,2201,3
support,2165,3
want,2122,3
must,1918,3
also,1891,3
social,1761,3
increase,1704,3
public,1656,3
training,1553,3
research,1459,3
work,1382,3
services,1378,3
economic,1370,3
economy,1368,3
ensure,1325,3
make,1240,3
country,1192,3
schools,1176,3
young,1162,3
system,1161,3
national,1124,3
energy,1118,3
opportunities,1117,3
sector,1101,3
technology,1083,3
investment,1041,3
need,997,3
increased,994,3
infrastructure,988,3
health,980,3
use,944,3
employment,939,3
create,934,3
school,921,3
quality,915,3
order,914,3
world,913,3
future,910,3
policy,907,3
continue,907,3
growth,898,3
high,896,3
government,892,3
provide,873,3
industry,866,3
society,861,3
business,861,3
local,857,3
production,856,3
jobs,833,3
needs,832,3
children,830,3
important,812,3
strengthen,810,3
life,806,3
cultural,806,3
areas,793,3
improve,786,3
international,784,3
better,784,3
universities,776,3
students,752,3
innovation,746,3
years,740,3
develop,739,3
time,738,3
sports,726,3
state,719,3
technologies,718,3
information,715,3
market,711,3
private,707,3
resources,704,3
companies,701,3
access,700,3
care,685,3
institutions,681,3
federal,681,3
funding,671,3
women,658,3
tourism,653,3
every,647,3
programs,644,3
number,643,3
way,642,3
higher,642,3
well,640,3
modern,639,3
youth,635,3
promote,633,3
conditions,628,3
expand,626,3
help,624,3
vocational,604,3
skills,598,3
culture,596,3
party,17920,4
new,2667,4
development,2661,4
public,2353,4
local,1917,4
support,1856,4
national,1817,4
system,1769,4
ensure,1655,4
services,1624,4
education,1586,4
health,1581,4
social,1459,4
government,1345,4
energy,1261,4
policy,1251,4
