2-gram,Frequency,Cluster
"('human', 'rights')",390,0
"('united', 'states')",372,0
"('party', 'continue')",288,0
"('party', 'party')",285,0
"('foreign', 'policy')",215,0
"('party', 'ensure')",214,0
"('health', 'care')",179,0
"('federal', 'government')",176,0
"('rule', 'law')",167,0
"('party', 'make')",147,0
"('party', 'allow')",145,0
"('nuclear', 'weapons')",145,0
"('young', 'people')",144,0
"('party', 'also')",144,0
"('party', 'work')",143,0
"('united', 'nations')",140,0
"('climate', 'change')",126,0
"('government', 'party')",124,0
"('armed', 'forces')",124,0
"('american', 'people')",122,0
"('northern', 'ireland')",114,0
"('european', 'union')",110,0
"('national', 'security')",107,0
"('fundamental', 'rights')",101,0
"('party', 'take')",100,0
"('political', 'parties')",97,0
"('international', 'law')",97,0
"('democrats', 'party')",97,0
"('law', 'enforcement')",94,0
"('party', 'fight')",89,0
"('party', 'prevent')",88,0
"('party', 'never')",88,0
"('social', 'security')",87,0
"('die', 'linke')",87,0
"('republic', 'party')",86,0
"('middle', 'east')",85,0
"('party', 'must')",84,0
"('private', 'sector')",83,0
"('civil', 'society')",82,0
"('president', 'party')",82,0
"('people', 'party')",80,0
"('party', 'support')",80,0
"('soviet', 'union')",80,0
"('administration', 'party')",78,0
"('party', 'prevented')",77,0
"('must', 'also')",76,0
"('men', 'women')",74,0
"('civil', 'rights')",74,0
"('snp', 'mps')",74,0
"('uk', 'government')",73,0
"('nuclear', 'power')",72,0
"('policy', 'party')",72,0
"('party', 'put')",71,0
"('party', 'made')",69,0
"('public', 'services')",69,0
"('republican', 'president')",69,0
"('within', 'framework')",68,0
"('basic', 'law')",68,0
"('federal', 'state')",67,0
"('equal', 'rights')",66,0
"('free', 'democrats')",66,0
"('rights', 'freedoms')",65,0
"('mps', 'party')",64,0
"('republican', 'administration')",64,0
"('party', 'protect')",63,0
"('party', 'oppose')",63,0
"('must', 'remain')",63,0
"('party', 'problem')",62,0
"('democrats', 'believe')",62,0
"('public', 'sector')",61,0
"('party', 'end')",60,0
"('law', 'party')",60,0
"('economic', 'social')",59,0
"('citizens', 'party')",59,0
"('party', 'seek')",58,0
"('four', 'years')",58,0
"('climate', 'protection')",58,0
"('supreme', 'court')",57,0
"('state', 'local')",57,0
"('pirate', 'party')",57,0
"('arms', 'control')",56,0
"('plaid', 'cymru')",56,0
"('make', 'sure')",55,0
"('party', 'able')",55,0
"('rights', 'party')",54,0
"('party', 'establish')",54,0
"('prime', 'minister')",54,0
"('put', 'end')",53,0
"('recent', 'years')",53,0
"('trade', 'unions')",53,0
"('health', 'insurance')",53,0
"('around', 'world')",52,0
"('president', 'bush')",52,0
"('data', 'protection')",51,0
"('fight', 'terrorism')",51,0
"('party', 'use')",51,0
"('weapons', 'mass')",51,0
"('system', 'party')",50,0
"('mass', 'destruction')",50,0
"('party', 'provide')",49,0
"('young', 'people')",379,1
"('social', 'security')",229,1
"('health', 'care')",211,1
"('recent', 'years')",198,1
"('economic', 'growth')",176,1
"('many', 'people')",165,1
"('per', 'cent')",161,1
"('federal', 'government')",156,1
"('labor', 'market')",147,1
"('interest', 'rates')",143,1
"('party', 'party')",136,1
"('party', 'continue')",130,1
"('private', 'sector')",127,1
"('public', 'sector')",126,1
"('public', 'services')",124,1
"('united', 'states')",119,1
"('economic', 'crisis')",113,1
"('government', 'party')",105,1
"('four', 'years')",105,1
"('european', 'union')",105,1
"('climate', 'change')",103,1
"('every', 'year')",95,1
"('small', 'businesses')",88,1
"('older', 'people')",88,1
"('armed', 'forces')",87,1
"('must', 'also')",87,1
"('people', 'party')",86,1
"('northern', 'ireland')",84,1
"('million', 'people')",82,1
"('years', 'ago')",82,1
"('old', 'age')",82,1
"('american', 'people')",82,1
"('billion', 'euros')",81,1
"('party', 'also')",80,1
"('party', 'make')",76,1
"('economic', 'social')",76,1
"('mental', 'health')",76,1
"('long', 'term')",75,1
"('small', 'mediumsized')",74,1
"('health', 'insurance')",74,1
"('education', 'system')",72,1
"('quality', 'life')",72,1
"('men', 'women')",71,1
"('higher', 'education')",71,1
"('middle', 'class')",70,1
"('labour', 'party')",70,1
"('eight', 'years')",69,1
"('five', 'years')",69,1
"('new', 'jobs')",69,1
"('economic', 'policy')",68,1
"('political', 'system')",67,1
"('hundreds', 'thousands')",66,1
"('working', 'hours')",66,1
"('trade', 'unions')",65,1
"('labour', 'government')",65,1
"('human', 'rights')",64,1
"('rural', 'areas')",64,1
"('foreign', 'policy')",63,1
"('millions', 'people')",63,1
"('health', 'service')",62,1
"('conservative', 'government')",62,1
"('two', 'years')",61,1
"('alliance', '90the')",61,1
"('90the', 'greens')",61,1
"('many', 'years')",60,1
"('public', 'administration')",59,1
"('party', 'ensure')",58,1
"('small', 'business')",58,1
"('tax', 'system')",58,1
"('financial', 'markets')",57,1
"('three', 'years')",57,1
"('public', 'debt')",56,1
"('market', 'economy')",55,1
"('living', 'standards')",55,1
"('last', 'year')",55,1
"('rule', 'law')",54,1
"('social', 'justice')",54,1
"('first', 'time')",54,1
"('one', 'hand')",53,1
"('welfare', 'state')",53,1
"('people', 'disabilities')",53,1
"('working', 'conditions')",52,1
"('party', 'become')",52,1
"('economic', 'development')",51,1
"('around', 'world')",51,1
"('per', 'year')",51,1
"('income', 'tax')",51,1
"('tax', 'rates')",50,1
"('health', 'services')",50,1
"('national', 'security')",50,1
"('standard', 'living')",50,1
"('people', 'want')",50,1
"('mediumsized', 'enterprises')",49,1
"('minimum', 'wage')",48,1
"('party', 'take')",48,1
"('future', 'generations')",48,1
"('public', 'spending')",48,1
"('state', 'local')",48,1
"('natural', 'resources')",47,1
"('tax', 'evasion')",47,1
"('european', 'union')",659,2
"('human', 'rights')",333,2
"('member', 'states')",305,2
"('party', 'continue')",196,2
"('foreign', 'policy')",194,2
"('federal', 'government')",190,2
"('party', 'party')",162,2
"('german', 'government')",155,2
"('die', 'linke')",153,2
"('free', 'democrats')",153,2
"('cdu', 'csu')",150,2
"('european', 'parliament')",139,2
"('must', 'also')",134,2
"('european', 'level')",129,2
"('want', 'strengthen')",129,2
"('northern', 'ireland')",122,2
"('within', 'framework')",119,2
"('united', 'nations')",119,2
"('party', 'also')",116,2
"('climate', 'protection')",115,2
"('social', 'security')",107,2
"('security', 'policy')",106,2
"('rule', 'law')",104,2
"('party', 'work')",103,2
"('eu', 'member')",102,2
"('party', 'ensure')",101,2
"('eu', 'party')",99,2
"('young', 'people')",98,2
"('small', 'mediumsized')",95,2
"('government', 'party')",93,2
"('also', 'want')",93,2
"('climate', 'change')",91,2
"('labor', 'market')",91,2
"('party', 'europe')",89,2
"('single', 'market')",87,2
"('europe', 'party')",86,2
"('development', 'cooperation')",86,2
"('market', 'economy')",85,2
"('international', 'law')",85,2
"('eu', 'must')",84,2
"('long', 'term')",82,2
"('fundamental', 'rights')",81,2
"('basic', 'law')",81,2
"('civil', 'society')",81,2
"('free', 'trade')",81,2
"('renewable', 'energies')",80,2
"('development', 'policy')",79,2
"('policy', 'must')",79,2
"('german', 'bundestag')",78,2
"('european', 'countries')",77,2
"('foreign', 'security')",75,2
"('federal', 'states')",75,2
"('democrats', 'want')",74,2
"('federal', 'republic')",73,2
"('eu', 'countries')",70,2
"('party', 'must')",70,2
"('mediumsized', 'enterprises')",70,2
"('german', 'language')",69,2
"('must', 'become')",68,2
"('economic', 'social')",67,2
"('republic', 'party')",67,2
"('eastern', 'german')",67,2
"('german', 'foreign')",67,2
"('throughout', 'europe')",66,2
"('agricultural', 'policy')",66,2
"('armed', 'forces')",66,2
"('sustainable', 'development')",65,2
