2-gram,Frequency,Cluster
"('young', 'people')",1337,0
"('health', 'care')",826,0
"('party', 'ensure')",662,0
"('party', 'continue')",462,0
"('people', 'disabilities')",441,0
"('party', 'provide')",363,0
"('health', 'services')",352,0
"('education', 'party')",326,0
"('higher', 'education')",326,0
"('mental', 'health')",324,0
"('social', 'security')",322,0
"('party', 'also')",320,0
"('party', 'make')",309,0
"('education', 'system')",265,0
"('vocational', 'training')",253,0
"('disabled', 'people')",240,0
"('party', 'increase')",239,0
"('health', 'insurance')",234,0
"('education', 'training')",225,0
"('must', 'also')",224,0
"('children', 'young')",220,0
"('party', 'support')",213,0
"('services', 'party')",209,0
"('party', 'establish')",207,0
"('party', 'provided')",207,0
"('party', 'work')",206,0
"('care', 'services')",197,0
"('equal', 'opportunities')",193,0
"('secondary', 'education')",191,0
"('every', 'child')",191,0
"('local', 'authorities')",186,0
"('labor', 'market')",181,0
"('continuing', 'education')",171,0
"('daycare', 'centers')",168,0
"('party', 'create')",167,0
"('schools', 'party')",161,0
"('working', 'conditions')",157,0
"('rural', 'areas')",153,0
"('need', 'care')",153,0
"('free', 'charge')",151,0
"('party', 'improve')",150,0
"('party', 'party')",150,0
"('party', 'expand')",148,0
"('party', 'give')",147,0
"('party', 'encourage')",144,0
"('system', 'party')",143,0
"('federal', 'government')",143,0
"('people', 'party')",142,0
"('party', 'established')",140,0
"('party', 'ensured')",140,0
"('care', 'system')",140,0
"('party', 'made')",139,0
"('social', 'services')",138,0
"('older', 'people')",136,0
"('medical', 'care')",136,0
"('private', 'sector')",135,0
"('party', 'take')",133,0
"('people', 'need')",133,0
"('also', 'want')",132,0
"('want', 'strengthen')",132,0
"('party', 'develop')",130,0
"('old', 'age')",129,0
"('vocational', 'education')",128,0
"('longterm', 'care')",127,0
"('public', 'services')",126,0
"('party', 'help')",124,0
"('women', 'men')",122,0
"('lifelong', 'learning')",121,0
"('make', 'sure')",118,0
"('children', 'party')",116,0
"('high', 'school')",116,0
"('quality', 'education')",114,0
"('social', 'life')",114,0
"('educational', 'institutions')",114,0
"('public', 'health')",113,0
"('public', 'sector')",113,0
"('party', 'implement')",112,0
"('working', 'life')",110,0
"('make', 'easier')",108,0
"('working', 'hours')",107,0
"('public', 'private')",106,0
"('care', 'party')",105,0
"('early', 'childhood')",105,0
"('within', 'framework')",104,0
"('free', 'democrats')",103,0
"('preschool', 'education')",101,0
"('party', 'introduce')",99,0
"('health', 'service')",99,0
"('men', 'women')",98,0
"('party', 'strengthen')",98,0
"('quality', 'life')",97,0
"('state', 'local')",97,0
"('want', 'make')",97,0
"('children', 'need')",96,0
"('increase', 'number')",94,0
"('social', 'care')",93,0
"('life', 'party')",92,0
"('improve', 'quality')",92,0
"('health', 'education')",91,0
"('social', 'support')",90,0
"('social', 'security')",551,1
"('party', 'ensure')",520,1
"('party', 'also')",437,1
"('party', 'make')",372,1
"('public', 'sector')",334,1
"('party', 'continue')",333,1
"('private', 'sector')",309,1
"('federal', 'government')",275,1
"('income', 'tax')",267,1
"('government', 'party')",247,1
"('local', 'authorities')",239,1
"('local', 'government')",229,1
"('system', 'party')",224,1
"('public', 'services')",222,1
"('party', 'ensured')",221,1
"('climate', 'change')",219,1
"('minimum', 'wage')",213,1
"('labor', 'market')",210,1
"('tax', 'system')",201,1
"('party', 'made')",200,1
"('small', 'mediumsized')",199,1
"('party', 'work')",198,1
"('party', 'provide')",193,1
"('party', 'party')",192,1
"('must', 'also')",188,1
"('free', 'democrats')",187,1
"('party', 'reduce')",186,1
"('party', 'introduce')",180,1
"('party', 'support')",179,1
"('health', 'care')",179,1
"('party', 'establish')",173,1
"('labour', 'party')",173,1
"('party', 'established')",170,1
"('interest', 'rates')",169,1
"('climate', 'protection')",169,1
"('public', 'transport')",168,1
"('economic', 'growth')",166,1
"('party', 'increase')",165,1
"('health', 'insurance')",162,1
"('renewable', 'energy')",159,1
"('long', 'term')",155,1
"('policy', 'party')",152,1
"('small', 'businesses')",150,1
"('party', 'put')",143,1
"('party', 'take')",143,1
"('sector', 'party')",141,1
"('party', 'prevented')",141,1
"('working', 'hours')",139,1
"('mediumsized', 'enterprises')",139,1
"('tax', 'evasion')",138,1
"('party', 'give')",138,1
"('within', 'framework')",137,1
"('party', 'create')",134,1
"('democrats', 'want')",132,1
"('northern', 'ireland')",132,1
"('local', 'governments')",130,1
"('economic', 'social')",129,1
"('party', 'eliminated')",129,1
"('european', 'union')",129,1
"('also', 'want')",128,1
"('policies', 'party')",127,1
"('party', 'encourage')",124,1
"('market', 'economy')",124,1
"('put', 'end')",123,1
"('trade', 'unions')",123,1
"('party', 'implement')",122,1
"('rural', 'areas')",121,1
"('working', 'conditions')",120,1
"('die', 'linke')",120,1
"('taking', 'account')",119,1
"('tax', 'rates')",119,1
"('want', 'make')",118,1
"('party', 'reduced')",117,1
"('services', 'party')",117,1
"('real', 'estate')",117,1
"('energy', 'efficiency')",116,1
"('new', 'jobs')",115,1
"('raw', 'materials')",114,1
"('economic', 'policy')",114,1
"('take', 'account')",112,1
"('environmental', 'protection')",111,1
"('collective', 'bargaining')",109,1
"('tax', 'reform')",109,1
"('environmentally', 'friendly')",108,1
"('party', 'taken')",107,1
"('renewable', 'energies')",107,1
"('old', 'age')",106,1
"('energy', 'sources')",105,1
"('party', 'end')",104,1
"('social', 'assistance')",103,1
"('party', 'allow')",102,1
"('financial', 'markets')",102,1
"('measures', 'party')",101,1
"('party', 'develop')",101,1
"('tax', 'burden')",100,1
"('natural', 'resources')",100,1
"('public', 'private')",100,1
"('monetary', 'policy')",99,1
"('party', 'help')",99,1
"('natural', 'gas')",98,1
"('party', 'continue')",733,2
"('party', 'ensure')",717,2
"('party', 'increase')",465,2
"('party', 'established')",453,2
"('private', 'sector')",433,2
"('party', 'also')",389,2
"('party', 'support')",379,2
"('party', 'make')",369,2
"('party', 'party')",351,2
"('party', 'ensured')",331,2
"('party', 'establish')",323,2
"('within', 'framework')",320,2
"('rural', 'areas')",300,2
"('quality', 'life')",286,2
"('higher', 'education')",284,2
"('party', 'increased')",280,2
"('party', 'create')",279,2
"('party', 'made')",275,2
"('european', 'union')",273,2
"('public', 'sector')",268,2
"('research', 'development')",262,2
"('party', 'develop')",261,2
"('economic', 'growth')",257,2
"('civil', 'society')",255,2
"('party', 'strengthen')",255,2
"('economic', 'social')",254,2
"('local', 'authorities')",246,2
"('renewable', 'energy')",245,2
"('party', 'encouraged')",243,2
"('party', 'provide')",238,2
"('system', 'party')",237,2
"('young', 'people')",237,2
"('small', 'mediumsized')",237,2
"('sustainable', 'development')",236,2
"('party', 'developed')",231,2
"('local', 'governments')",230,2
"('local', 'government')",229,2
"('economic', 'development')",225,2
"('climate', 'change')",221,2
"('new', 'technologies')",220,2
"('party', 'encourage')",215,2
"('sector', 'party')",207,2
"('added', 'value')",204,2
"('regional', 'development')",202,2
"('public', 'administration')",201,2
"('public', 'services')",199,2
"('public', 'transport')",198,2
"('party', 'work')",198,2
"('party', 'implement')",196,2
"('taking', 'account')",189,2
"('want', 'strengthen')",187,2
"('northern', 'ireland')",187,2
"('rural', 'development')",179,2
"('environmentally', 'friendly')",178,2
"('energy', 'efficiency')",177,2
"('party', 'improve')",174,2
"('mediumsized', 'enterprises')",174,2
"('science', 'technology')",172,2
"('party', 'provided')",169,2
"('foreign', 'policy')",168,2
"('party', 'take')",166,2
"('human', 'resources')",166,2
"('social', 'security')",165,2
"('party', 'given')",163,2
"('party', 'expand')",162,2
"('must', 'also')",158,2
"('federal', 'government')",157,2
"('services', 'party')",155,2
"('natural', 'gas')",154,2
"('human', 'rights')",152,2
"('new', 'jobs')",151,2
"('information', 'society')",149,2
"('cultural', 'heritage')",149,2
"('natural', 'resources')",148,2
"('energy', 'sources')",147,2
"('agricultural', 'products')",147,2
"('create', 'new')",146,2
"('long', 'term')",146,2
"('renewable', 'energies')",146,2
"('policies', 'party')",145,2
"('environmental', 'protection')",145,2
"('party', 'improved')",142,2
"('high', 'quality')",139,2
"('framework', 'conditions')",138,2
"('armed', 'forces')",137,2
"('climate', 'protection')",137,2
"('raw', 'materials')",135,2
"('party', 'supported')",134,2
"('resources', 'party')",133,2
"('high', 'valueadded')",133,2
"('labor', 'market')",133,2
"('projects', 'party')",132,2
"('public', 'private')",132,2
"('policy', 'party')",131,2
"('public', 'institutions')",129,2
"('also', 'want')",129,2
"('areas', 'party')",128,2
"('water', 'resources')",128,2
"('within', 'scope')",128,2
"('coming', 'period')",128,2
"('human', 'rights')",691,3
"('party', 'party')",611,3
"('foreign', 'policy')",599,3
"('party', 'continue')",584,3
"('european', 'union')",402,3
"('united', 'states')",393,3
"('rule', 'law')",336,3
"('party', 'ensure')",278,3
"('middle', 'east')",275,3
"('civil', 'society')",234,3
"('united', 'nations')",232,3
"('rights', 'freedoms')",223,3
"('northern', 'ireland')",222,3
"('fundamental', 'rights')",211,3
"('party', 'work')",205,3
"('party', 'make')",194,3
"('within', 'framework')",184,3
"('armed', 'forces')",183,3
"('social', 'security')",154,3
"('republic', 'party')",132,3
"('economic', 'social')",131,3
"('peace', 'security')",131,3
"('international', 'law')",129,3
"('policy', 'party')",128,3
"('social', 'justice')",126,3
"('turkish', 'nation')",125,3
"('country', 'party')",123,3
"('government', 'party')",123,3
"('party', 'also')",121,3
"('21st', 'century')",120,3
"('federal', 'government')",120,3
"('nationalist', 'movement')",119,3
"('party', 'support')",117,3
"('civil', 'rights')",117,3
"('party', 'take')",114,3
"('political', 'economic')",113,3
"('american', 'people')",113,3
"('people', 'party')",109,3
"('quality', 'life')",109,3
"('national', 'security')",109,3
"('want', 'strengthen')",108,3
"('basic', 'law')",108,3
"('young', 'people')",107,3
"('men', 'women')",106,3
"('movement', 'party')",106,3
"('free', 'democrats')",104,3
"('around', 'world')",102,3
"('market', 'economy')",101,3
"('member', 'states')",101,3
"('new', 'constitution')",99,3
"('equal', 'rights')",97,3
"('peace', 'stability')",97,3
"('future', 'generations')",96,3
"('party', 'believes')",94,3
"('public', 'services')",94,3
"('world', 'party')",94,3
"('party', 'must')",94,3
"('social', 'economic')",93,3
"('economic', 'development')",93,3
"('security', 'policy')",93,3
"('puerto', 'rico')",93,3
"('equal', 'opportunities')",92,3
"('party', 'become')",91,3
"('public', 'administration')",89,3
"('national', 'interests')",89,3
"('administration', 'party')",85,3
"('must', 'also')",85,3
"('human', 'dignity')",84,3
"('continue', 'support')",83,3
"('cdu', 'csu')",83,3
"('rights', 'party')",80,3
"('party', 'government')",79,3
"('party', 'problem')",79,3
"('cultural', 'heritage')",79,3
"('must', 'continue')",78,3
"('party', 'always')",77,3
"('economic', 'growth')",76,3
"('party', 'strengthen')",75,3
"('climate', 'change')",75,3
"('party', 'established')",74,3
"('every', 'citizen')",74,3
"('free', 'trade')",72,3
"('social', 'market')",72,3
"('make', 'party')",71,3
"('citizens', 'party')",69,3
"('political', 'social')",69,3
"('international', 'community')",69,3
"('party', 'able')",68,3
"('party', 'ensured')",68,3
"('sustainable', 'development')",68,3
"('relations', 'party')",67,3
"('future', 'party')",67,3
"('national', 'unity')",67,3
"('women', 'men')",66,3
"('international', 'cooperation')",66,3
"('democracy', 'party')",66,3
"('party', 'committed')",66,3
"('welfare', 'state')",66,3
"('policy', 'must')",66,3
"('peace', 'freedom')",65,3
"('human', 'rights')",747,4
"('united', 'states')",437,4
"('party', 'party')",401,4
"('party', 'continue')",386,4
"('party', 'ensure')",341,4
"('nuclear', 'weapons')",328,4
"('european', 'union')",324,4
"('rule', 'law')",321,4
"('foreign', 'policy')",308,4
"('party', 'also')",238,4
"('party', 'work')",236,4
"('united', 'nations')",218,4
"('federal', 'government')",217,4
"('law', 'enforcement')",216,4
"('party', 'make')",214,4
"('fundamental', 'rights')",210,4
"('put', 'end')",204,4
"('die', 'linke')",203,4
"('civil', 'society')",195,4
"('must', 'also')",193,4
"('armed', 'forces')",191,4
"('government', 'party')",182,4
"('political', 'parties')",181,4
"('party', 'put')",180,4
"('party', 'made')",177,4
"('northern', 'ireland')",174,4
"('international', 'law')",169,4
"('party', 'take')",168,4
"('within', 'framework')",167,4
"('national', 'security')",166,4
"('party', 'allow')",160,4
"('young', 'people')",159,4
"('party', 'end')",154,4
"('soviet', 'union')",141,4
"('republic', 'party')",140,4
"('data', 'protection')",139,4
"('basic', 'law')",139,4
"('party', 'must')",137,4
"('member', 'states')",133,4
"('civil', 'rights')",129,4
"('party', 'established')",127,4
"('party', 'prevent')",127,4
"('administration', 'party')",126,4
"('free', 'democrats')",124,4
"('party', 'prevented')",123,4
"('public', 'officials')",116,4
"('nuclear', 'power')",116,4
"('public', 'administration')",116,4
"('health', 'care')",115,4
"('party', 'establish')",115,4
"('social', 'security')",115,4
"('rights', 'freedoms')",114,4
"('system', 'party')",114,4
"('middle', 'east')",112,4
"('arms', 'control')",110,4
"('law', 'party')",109,4
"('public', 'services')",108,4
"('party', 'problem')",108,4
"('democrats', 'party')",106,4
"('fight', 'terrorism')",105,4
"('criminal', 'law')",104,4
"('party', 'ensured')",103,4
"('citizens', 'party')",102,4
"('people', 'party')",101,4
"('american', 'people')",101,4
"('federal', 'state')",100,4
"('party', 'abolished')",99,4
"('party', 'support')",99,4
"('economic', 'social')",98,4
"('uk', 'government')",98,4
"('party', 'fight')",97,4
"('security', 'council')",95,4
"('pirate', 'party')",95,4
"('party', 'eliminated')",94,4
"('party', 'seek')",94,4
"('president', 'party')",94,4
"('party', 'abolish')",93,4
"('climate', 'change')",92,4
"('party', 'introduce')",92,4
"('policy', 'party')",91,4
