2-gram,Frequency,Cluster
"('young', 'people')",270,0
"('health', 'care')",197,0
"('social', 'security')",192,0
"('recent', 'years')",169,0
"('many', 'people')",143,0
"('party', 'party')",128,0
"('european', 'union')",128,0
"('federal', 'government')",127,0
"('public', 'sector')",124,0
"('united', 'states')",114,0
"('climate', 'change')",97,0
"('party', 'continue')",96,0
"('armed', 'forces')",92,0
"('labor', 'market')",91,0
"('interest', 'rates')",91,0
"('economic', 'crisis')",90,0
"('public', 'services')",89,0
"('government', 'party')",89,0
"('per', 'cent')",87,0
"('party', 'also')",86,0
"('private', 'sector')",83,0
"('labour', 'party')",81,0
"('foreign', 'policy')",78,0
"('four', 'years')",78,0
"('men', 'women')",77,0
"('american', 'people')",76,0
"('economic', 'growth')",75,0
"('human', 'rights')",72,0
"('years', 'ago')",72,0
"('people', 'party')",69,0
"('hundreds', 'thousands')",68,0
"('millions', 'people')",68,0
"('health', 'insurance')",67,0
"('every', 'year')",64,0
"('education', 'system')",63,0
"('mental', 'health')",63,0
"('three', 'years')",62,0
"('labour', 'government')",62,0
"('million', 'people')",61,0
"('old', 'age')",59,0
"('economic', 'social')",58,0
"('public', 'administration')",58,0
"('middle', 'east')",58,0
"('many', 'years')",58,0
"('northern', 'ireland')",58,0
"('two', 'years')",57,0
"('small', 'businesses')",56,0
"('older', 'people')",56,0
"('plaid', 'cymru')",56,0
"('health', 'services')",53,0
"('small', 'mediumsized')",53,0
"('party', 'make')",51,0
"('health', 'service')",51,0
"('people', 'disabilities')",51,0
"('trade', 'unions')",50,0
"('rural', 'areas')",50,0
"('working', 'conditions')",49,0
"('party', 'take')",49,0
"('five', 'years')",49,0
"('billion', 'euros')",49,0
"('eight', 'years')",47,0
"('middle', 'class')",47,0
"('party', 'put')",46,0
"('party', 'ensure')",46,0
"('every', 'day')",46,0
"('political', 'system')",46,0
"('greek', 'people')",46,0
"('health', 'system')",46,0
"('ukip', 'party')",46,0
"('party', 'work')",45,0
"('long', 'term')",45,0
"('around', 'world')",45,0
"('state', 'local')",45,0
"('european', 'countries')",44,0
"('higher', 'education')",44,0
"('real', 'estate')",44,0
"('current', 'administration')",44,0
"('economic', 'policy')",43,0
"('first', 'time')",43,0
"('public', 'debt')",43,0
"('public', 'health')",43,0
"('soviet', 'union')",43,0
"('social', 'care')",42,0
"('must', 'also')",42,0
"('local', 'authorities')",42,0
"('quality', 'life')",42,0
"('conservative', 'government')",42,0
"('party', 'become')",41,0
"('one', 'hand')",41,0
"('welfare', 'state')",41,0
"('federal', 'state')",41,0
"('local', 'governments')",40,0
"('german', 'government')",40,0
"('die', 'linke')",40,0
"('minimum', 'wage')",39,0
"('political', 'economic')",39,0
"('income', 'tax')",39,0
"('even', 'though')",39,0
"('national', 'security')",39,0
"('uk', 'government')",39,0
"('social', 'security')",501,1
"('party', 'also')",386,1
"('party', 'ensure')",370,1
"('party', 'make')",324,1
"('private', 'sector')",317,1
"('party', 'continue')",302,1
"('public', 'sector')",279,1
"('income', 'tax')",268,1
"('federal', 'government')",235,1
"('government', 'party')",223,1
"('labor', 'market')",218,1
"('health', 'care')",202,1
"('tax', 'system')",201,1
"('small', 'mediumsized')",199,1
"('economic', 'growth')",196,1
"('minimum', 'wage')",194,1
"('climate', 'change')",193,1
"('party', 'reduce')",192,1
"('party', 'party')",188,1
"('system', 'party')",188,1
"('public', 'services')",187,1
"('party', 'support')",181,1
"('interest', 'rates')",179,1
"('party', 'increase')",171,1
"('party', 'work')",168,1
"('party', 'ensured')",166,1
"('local', 'authorities')",166,1
"('must', 'also')",166,1
"('party', 'provide')",164,1
"('free', 'democrats')",163,1
"('labour', 'party')",158,1
"('small', 'businesses')",156,1
