1-gram,Frequency,Cluster
party,6950,0
european,1693,0
eu,1359,0
international,1264,0
policy,1176,0
must,1172,0
security,1083,0
support,1035,0
europe,1027,0
countries,1008,0
states,930,0
new,925,0
economic,894,0
world,876,0
rights,855,0
peace,842,0
union,832,0
people,790,0
united,772,0
government,758,0
relations,746,0
political,732,0
cooperation,709,0
also,689,0
continue,677,0
nations,665,0
country,647,0
foreign,616,0
nuclear,572,0
want,569,0
development,567,0
national,556,0
trade,534,0
region,527,0
east,510,0
democratic,504,0
human,500,0
work,497,0
nato,492,0
state,453,0
military,424,0
free,419,0
law,408,0
global,402,0
interests,389,0
forces,388,0
us,386,0
within,383,0
efforts,378,0
agreement,377,0
middle,375,0
solution,361,0
process,355,0
future,355,0
northern,354,0
turkish,352,0
stability,352,0
un,349,0
important,343,0
weapons,343,0
social,336,0
ireland,332,0
president,330,0
end,329,0
time,328,0
greek,324,0
strategic,324,0
community,322,0
common,321,0
russia,319,0
member,318,0
one,314,0
would,314,0
war,311,0
negotiations,309,0
german,308,0
republic,306,0
framework,305,0
democracy,305,0
role,301,0
years,301,0
soviet,300,0
britain,299,0
full,295,0
right,293,0
council,293,0
ensure,291,0
citizens,291,0
make,288,0
committed,288,0
israel,288,0
based,279,0
strengthen,276,0
regional,273,0
strong,271,0
treaty,271,0
well,269,0
freedom,268,0
turkeys,266,0
first,263,0
party,2998,1
tax,2002,1
income,1239,1
pension,1103,1
insurance,810,1
must,788,1
people,764,1
want,744,1
also,686,1
social,672,1
work,630,1
benefit,582,1
benefits,559,1
new,558,1
allowance,526,1
years,521,1
rate,517,1
children,506,1
child,504,1
pay,491,1
increase,490,1
euros,486,1
care,483,1
per,478,1
minimum,457,1
year,439,1
state,437,1
employment,434,1
time,426,1
system,425,1
age,424,1
health,415,1
basic,413,1
would,394,1
wage,382,1
support,379,1
paid,362,1
security,362,1
contributions,361,1
employees,348,1
families,347,1
without,338,1
family,336,1
working,335,1
pensions,332,1
first,329,1
public,326,1
receive,322,1
unemployment,321,1
citizens,315,1
right,314,1
private,310,1
housing,303,1
law,302,1
make,299,1
one,297,1
amount,294,1
additional,286,1
costs,282,1
companies,280,1
parents,276,1
statutory,267,1
government,263,1
reduced,263,1
level,263,1
training,261,1
percent,257,1
rates,256,1
retirement,255,1
special,255,1
education,252,1
period,247,1
scheme,247,1
end,246,1
provide,242,1
women,240,1
workers,237,1
ensure,237,1
financial,235,1
increased,232,1
need,232,1
pensioners,229,1
persons,223,1
introduce,222,1
two,217,1
services,216,1
incomes,216,1
billion,215,1
taxation,213,1
unemployed,211,1
future,211,1
free,210,1
funds,207,1
single,206,1
least,204,1
take,204,1
taxes,203,1
made,203,1
help,203,1
young,202,1
party,18454,2
public,1364,2
social,1170,2
established,1013,2
education,943,2
made,898,2
system,895,2
ensured,839,2
production,825,2
services,772,2
order,770,2
development,730,2
ensure,720,2
sector,673,2
new,634,2
provided,633,2
health,610,2
citizens,591,2
people,577,2
national,557,2
increased,549,2
economic,537,2
security,528,2
country,522,2
state,521,2
developed,516,2
support,514,2
effective,510,2
resources,496,2
employment,465,2
necessary,456,2
institutions,453,2
infrastructure,452,2
energy,446,2
policies,443,2
use,437,2
agricultural,437,2
increase,422,2
high,420,2
structure,419,2
policy,419,2
transportation,417,2
areas,416,2
tax,412,2
local,409,2
within,407,2
rights,403,2
quality,403,2
society,402,2
private,399,2
activities,398,2
implemented,397,2
encouraged,393,2
taken,392,2
financial,391,2
foreign,391,2
information,390,2
projects,381,2
turkish,380,2
international,375,2
law,371,2
economy,362,2
based,360,2
technology,357,2
given,356,2
life,351,2
work,350,2
prevented,344,2
investments,342,2
management,337,2
investment,327,2
cultural,319,2
conditions,317,2
framework,311,2
measures,311,2
industry,311,2
improved,310,2
political,309,2
organizations,304,2
centers,299,2
service,298,2
products,298,2
legal,293,2
cooperation,292,2
account,291,2
training,288,2
also,287,2
government,283,2
supported,281,2
eliminated,280,2
tourism,279,2
environment,277,2
insurance,275,2
level,273,2
needs,271,2
way,269,2
sports,267,2
free,266,2
domestic,265,2
period,261,2
party,12900,3
new,2617,3
people,2326,3
government,2202,3
local,2003,3
support,1913,3
ensure,1781,3
public,1637,3
work,1539,3
uk,1451,3
services,1406,3
health,1298,3
tax,1179,3
make,1129,3
also,1116,3
system,1113,3
national,1092,3
help,1009,3
labour,989,3
education,983,3
care,976,3
including,903,3
continue,878,3
need,838,3
scotland,838,3
investment,829,3
schools,785,3
wales,778,3
use,763,3
energy,755,3
social,754,3
provide,751,3
increase,740,3
housing,738,3
nhs,737,3
service,736,3
year,736,3
funding,727,3
years,704,3
rights,687,3
parliament,687,3
development,683,3
british,681,3
access,675,3
would,671,3
economy,666,3
give,664,3
improve,658,3
introduce,655,3
community,647,3
britain,647,3
pay,627,3
snp,622,3
every,615,3
set,607,3
sector,605,3
better,595,3
end,591,3
communities,588,3
take,587,3
free,579,3
northern,576,3
scottish,569,3
standards,568,3
children,564,3
areas,558,3
want,556,3
authorities,556,3
must,554,3
encourage,551,3
policy,549,3
per,549,3
working,549,3
industry,547,3
powers,545,3
ireland,539,3
act,538,3
businesses,537,3
future,536,3
police,536,3
needs,535,3
eu,535,3
jobs,532,3
reduce,527,3
business,524,3
transport,520,3
billion,519,3
first,517,3
programme,515,3
homes,510,3
private,506,3
economic,506,3
training,506,3
world,500,3
reform,500,3
million,499,3
create,494,3
protect,492,3
power,485,3
across,478,3
party,3769,4
public,2389,4
development,2388,4
new,1986,4
education,1760,4
social,1634,4
system,1504,4
state,1446,4
national,1428,4
services,1405,4
health,1354,4
support,1289,4
policy,1196,4
local,1080,4
implementation,1059,4
management,1032,4
sector,1012,4
order,1007,4
creation,963,4
use,912,4
must,906,4
tourism,904,4
training,898,4
energy,884,4
control,875,4
quality,872,4
areas,871,4
law,854,4
protection,847,4
country,844,4
resources,831,4
production,817,4
measures,816,4
infrastructure,814,4
people,801,4
establishment,799,4
also,794,4
information,769,4
programmes,751,4
care,747,4
citizens,731,4
research,729,4
economic,727,4
government,719,4
institutions,713,4
greek,712,4
strengthening,711,4
ensure,704,4
european,702,4
agricultural,698,4
financial,697,4
framework,688,4
tax,675,4
conditions,659,4
cultural,655,4
increase,651,4
special,649,4
private,648,4
work,640,4
regional,636,4
necessary,632,4
economy,627,4
projects,621,4
ministry,615,4
products,611,4
transport,611,4
service,602,4
security,598,4
promotion,593,4
well,592,4
environmental,588,4
needs,581,4
market,577,4
effective,577,4
environment,574,4
participation,572,4
cooperation,571,4
funds,560,4
school,559,4
employment,555,4
activities,554,4
international,546,4
programme,539,4
investment,535,4
water,520,4
sports,512,4
level,512,4
modern,509,4
planning,506,4
schools,505,4
rights,497,4
operation,491,4
business,480,4
etc,479,4
centres,479,4
provide,478,4
high,475,4
administration,475,4
promote,466,4
companies,466,4
people,2391,5
want,2147,5
must,2063,5
education,1571,5
social,1398,5
party,1363,5
care,1352,5
children,1334,5
work,1303,5
also,1194,5
support,1103,5
