1-gram,Frequency,Cluster
party,16924,0
tax,4119,0
must,3380,0
public,3152,0
new,2764,0
want,2759,0
social,2663,0
government,2192,0
also,2159,0
system,2074,0
policy,1929,0
economic,1925,0
energy,1854,0
ensure,1812,0
support,1771,0
work,1660,0
development,1632,0
state,1589,0
people,1587,0
economy,1562,0
local,1529,0
make,1498,0
services,1413,0
income,1397,0
use,1324,0
financial,1323,0
reduce,1315,0
sector,1302,0
private,1281,0
health,1260,0
market,1237,0
companies,1183,0
national,1160,0
federal,1113,0
security,1096,0
need,1067,0
employment,1065,0
protection,1049,0
housing,1045,0
law,1017,0
order,1016,0
production,1011,0
insurance,1011,0
increase,1010,0
future,993,0
investment,990,0
end,979,0
pension,960,0
citizens,954,0
areas,948,0
time,933,0
european,909,0
pay,904,0
resources,898,0
provide,884,0
trade,881,0
reform,881,0
way,880,0
agricultural,855,0
measures,847,0
without,846,0
small,830,0
workers,824,0
rights,822,0
costs,815,0
eu,813,0
would,809,0
fair,808,0
jobs,803,0
country,802,0
growth,796,0
free,793,0
environmental,792,0
policies,787,0
climate,776,0
working,774,0
conditions,770,0
business,769,0
management,766,0
create,759,0
control,745,0
land,741,0
industry,733,0
made,724,0
countries,712,0
take,698,0
better,698,0
one,697,0
service,696,0
taxes,688,0
education,688,0
transport,686,0
necessary,685,0
power,681,0
waste,671,0
needs,669,0
benefit,666,0
benefits,666,0
products,662,0
change,660,0
party,11141,1
years,2692,1
new,2352,1
million,2352,1
billion,2297,1
people,2138,1
tax,2064,1
percent,2056,1
year,2016,1
increased,1772,1
per,1653,1
increase,1535,1
support,1385,1
government,1346,1
public,1327,1
education,1289,1
social,1253,1
number,1226,1
income,1209,1
health,1143,1
country,1078,1
first,1065,1
rate,1058,1
national,1051,1
also,998,1
work,976,1
every,928,1
one,928,1
development,905,1
services,890,1
system,880,1
period,874,1
time,856,1
total,831,1
jobs,825,1
sector,825,1
2002,809,1
thousand,807,1
investment,800,1
since,780,1
care,775,1
end,772,1
tl,771,1
euros,770,1
children,753,1
economic,737,1
employment,730,1
provide,719,1
energy,700,1
state,694,1
economy,685,1
pension,685,1
must,676,1
want,673,1
within,667,1
last,660,1
world,649,1
high,646,1
ensure,631,1
citizens,630,1
two,625,1
average,623,1
cent,614,1
service,613,1
make,602,1
countries,597,1
women,596,1
federal,596,1
pay,594,1
local,589,1
housing,588,1
1,587,1
families,583,1
next,581,1
young,578,1
budget,577,1
private,575,1
least,571,1
insurance,569,1
training,568,1
working,556,1
made,554,1
many,554,1
security,551,1
projects,550,1
provided,541,1
10,534,1
growth,533,1
would,533,1
20,527,1
three,527,1
need,526,1
project,523,1
continue,521,1
benefit,505,1
spending,504,1
higher,503,1
unemployment,502,1
5,502,1
schools,499,1
party,19777,2
development,4768,2
new,4343,2
public,3236,2
support,2790,2
social,2581,2
want,2453,2
economic,2421,2
energy,2418,2
must,2353,2
policy,2310,2
also,2283,2
ensure,2215,2
national,2145,2
local,2065,2
services,2035,2
research,1920,2
education,1913,2
economy,1906,2
system,1868,2
sector,1867,2
increase,1854,2
production,1840,2
infrastructure,1780,2
country,1743,2
european,1729,2
use,1697,2
areas,1685,2
resources,1567,2
international,1550,2
quality,1543,2
order,1468,2
cultural,1437,2
investment,1424,2
cooperation,1419,2
government,1401,2
make,1391,2
tourism,1349,2
state,1341,2
work,1305,2
people,1302,2
industry,1276,2
protection,1242,2
regional,1238,2
information,1238,2
technology,1233,2
management,1222,2
create,1214,2
continue,1212,2
world,1205,2
growth,1192,2
transport,1191,2
important,1187,2
projects,1178,2
strengthen,1151,2
health,1146,2
develop,1137,2
environment,1135,2
market,1133,2
future,1124,2
products,1112,2
security,1108,2
framework,1103,2
agricultural,1099,2
environmental,1098,2
high,1095,2
countries,1094,2
sustainable,1070,2
improve,1067,2
society,1063,2
institutions,1063,2
needs,1060,2
promote,1060,2
policies,1050,2
citizens,1017,2
effective,1003,2
private,1003,2
trade,993,2
business,992,2
provide,991,2
financial,987,2
technologies,984,2
opportunities,965,2
innovation,946,2
foreign,936,2
level,934,2
conditions,930,2
need,927,2
implementation,923,2
culture,907,2
necessary,906,2
rural,898,2
employment,896,2
modern,895,2
activities,894,2
training,892,2
investments,889,2
strengthening,887,2
companies,882,2
well,877,2
party,12515,3
education,5219,3
people,4213,3
health,3838,3
care,3599,3
children,3146,3
support,2969,3
must,2870,3
social,2732,3
want,2697,3
work,2413,3
services,2327,3
schools,2212,3
also,2127,3
ensure,2123,3
training,1985,3
school,1969,3
young,1813,3
new,1717,3
public,1697,3
need,1693,3
system,1659,3
women,1643,3
family,1537,3
life,1383,3
provide,1350,3
make,1335,3
families,1197,3
students,1192,3
child,1157,3
access,1149,3
opportunities,1144,3
rights,1118,3
needs,1113,3
local,1103,3
parents,1065,3
free,1064,3
quality,1031,3
every,1016,3
working,1007,3
educational,1002,3
right,971,3
state,966,3
society,963,3
help,950,3
time,933,3
citizens,925,3
employment,913,3
better,896,3
development,878,3
youth,870,3
teachers,869,3
good,867,3
continue,863,3
improve,858,3
programs,857,3
equal,837,3
service,817,3
disabilities,808,3
national,798,3
special,779,3
vocational,762,3
order,749,3
age,746,3
well,742,3
insurance,733,3
conditions,731,3
federal,725,3
use,724,3
policy,723,3
disabled,720,3
increase,718,3
sports,713,3
medical,711,3
take,704,3
learning,703,3
government,702,3
possible,684,3
including,683,3
security,673,3
home,672,3
housing,670,3
community,669,3
centers,666,3
way,665,3
future,654,3
areas,652,3
institutions,648,3
private,647,3
create,638,3
law,636,3
develop,635,3
workers,635,3
able,631,3
necessary,630,3
standards,626,3
provided,622,3
basic,618,3
especially,610,3
protection,610,3
party,12384,4
people,2420,4
rights,2275,4
must,2256,4
social,2043,4
policy,1902,4
country,1839,4
security,1742,4
society,1727,4
world,1726,4
new,1669,4
want,1502,4
political,1498,4
state,1469,4
government,1433,4
national,1421,4
citizens,1406,4
peace,1396,4
european,1359,4
support,1341,4
economic,1310,4
freedom,1290,4
also,1284,4
international,1272,4
human,1247,4
law,1247,4
democratic,1211,4
democracy,1173,4
future,1145,4
work,1123,4
free,1063,4
public,1053,4
ensure,1048,4
development,1033,4
continue,1019,4
right,1015,4
make,981,4
nation,970,4
life,964,4
strong,956,4
europe,953,4
us,930,4
cultural,926,4
values,924,4
states,891,4
foreign,869,4
one,861,4
culture,789,4
united,784,4
believe,783,4
every,781,4
system,753,4
nations,753,4
way,751,4
eu,748,4
cooperation,742,4
based,741,4
justice,734,4
american,724,4
countries,722,4
equal,717,4
union,701,4
education,692,4
relations,681,4
important,680,4
order,668,4
time,657,4
together,652,4
common,646,4
responsibility,646,4
interests,645,4
economy,644,4
fundamental,642,4
power,632,4
without,625,4
global,624,4
protection,617,4
committed,612,4
need,597,4
respect,588,4
principles,585,4
civil,576,4
strengthen,570,4
good,558,4
policies,547,4
understanding,540,4
federal,538,4
institutions,535,4
basis,534,4
participation,534,4
live,533,4
effective,523,4
better,522,4
great,509,4
within,507,4
possible,499,4
take,492,4
goal,492,4
well,490,4
community,488,4
party,5762,5
people,2639,5
government,1625,5
many,1536,5
social,1481,5
new,1271,5
years,1262,5
economic,1231,5
public,1224,5
country,1206,5
also,1110,5
state,1091,5
must,1083,5
system,1059,5
health,1050,5
economy,1015,5
policy,968,5
time,959,5
work,938,5
tax,823,5
world,814,5
crisis,793,5
one,786,5
even,755,5
national,755,5
care,750,5
society,739,5
want,729,5
political,723,5
education,706,5
development,681,5
would,673,5
without,671,5
need,654,5
citizens,627,5
services,626,5
problems,621,5
high,607,5
security,593,5
policies,588,5
us,585,5
children,574,5
labour,572,5
countries,569,5
administration,569,5
future,567,5
women,565,5
market,556,5
make,551,5
life,549,5
today,546,5
jobs,541,5
power,536,5
unemployment,528,5
financial,528,5
federal,526,5
way,522,5
poverty,517,5
european,505,5
sector,501,5
often,496,5
support,495,5
governments,487,5
families,484,5
american,483,5
workers,479,5
needs,478,5
every,476,5
change,475,5
private,474,5
eu,470,5
working,469,5
energy,467,5
still,461,5
companies,459,5
young,452,5
housing,450,5
become,449,5
rights,438,5
pay,438,5
since,435,5
lack,433,5
result,430,5
resources,424,5
made,423,5
current,418,5
international,416,5
states,415,5
growth,415,5
money,412,5
end,411,5
much,409,5
last,403,5
increase,396,5
number,395,5
problem,395,5
take,394,5
law,391,5
due,390,5
greek,383,5
party,15698,6
must,4507,6
law,2580,6
rights,2526,6
people,2214,6
government,2211,6
public,2169,6
state,2098,6
want,1999,6
security,1815,6
policy,1755,6
new,1742,6
political,1735,6
also,1723,6
national,1582,6
support,1468,6
right,1462,6
european,1453,6
international,1434,6
social,1425,6
citizens,1346,6
system,1319,6
protection,1269,6
ensure,1267,6
states,1241,6
federal,1239,6
use,1211,6
eu,1170,6
nuclear,1159,6
human,1129,6
end,1123,6
country,1097,6
legal,1094,6
work,1091,6
without,1062,6
society,988,6
freedom,985,6
order,980,6
make,959,6
democratic,889,6
act,886,6
crime,876,6
world,870,6
foreign,869,6
power,866,6
control,865,6
military,863,6
would,854,6
free,838,6
economic,832,6
need,812,6
union,788,6
civil,777,6
necessary,774,6
administration,769,6
prevent,765,6
justice,757,6
europe,751,6
development,749,6
protect,747,6
criminal,746,6
police,741,6
weapons,737,6
continue,732,6
fight,732,6
services,728,6
countries,728,6
made,727,6
believe,727,6
way,720,6
parliament,715,6
take,715,6
united,708,6
democracy,701,6
interests,687,6
education,686,6
time,681,6
forces,679,6
us,675,6
health,665,6
future,650,6
one,649,6
effective,647,6
measures,645,6
within,641,6
laws,637,6
