1-gram,Frequency,Cluster
party,15980,0
new,3772,0
development,3072,0
support,2206,0
economic,2094,0
want,2053,0
public,1978,0
social,1901,0
economy,1814,0
increase,1804,0
also,1795,0
energy,1751,0
education,1595,0
country,1575,0
people,1571,0
must,1513,0
research,1488,0
services,1422,0
ensure,1406,0
sector,1399,0
policy,1335,0
production,1324,0
national,1282,0
infrastructure,1275,0
make,1264,0
world,1241,0
growth,1206,0
investment,1180,0
international,1156,0
technology,1143,0
local,1141,0
use,1127,0
quality,1096,0
cultural,1095,0
work,1084,0
system,1083,0
continue,1076,0
industry,1066,0
areas,1063,0
tourism,1036,0
future,1027,0
create,1020,0
resources,1011,0
order,981,0
important,979,0
high,969,0
society,959,0
opportunities,959,0
strengthen,927,0
cooperation,920,0
business,906,0
government,900,0
market,885,0
employment,875,0
innovation,870,0
technologies,839,0
private,835,0
improve,831,0
need,814,0
develop,812,0
products,798,0
countries,798,0
trade,797,0
information,796,0
provide,792,0
promote,786,0
state,780,0
investments,773,0
companies,770,0
needs,765,0
jobs,759,0
increased,749,0
foreign,748,0
better,744,0
culture,738,0
projects,734,0
life,731,0
policies,718,0
transport,714,0
training,706,0
citizens,700,0
health,697,0
regional,688,0
security,687,0
european,685,0
institutions,680,0
modern,679,0
financial,675,0
cities,670,0
universities,660,0
global,651,0
sustainable,650,0
way,645,0
made,640,0
conditions,630,0
environment,629,0
increasing,624,0
well,622,0
activities,619,0
effective,617,0
party,10988,1
european,2631,1
new,2274,1
must,2250,1
development,2038,1
policy,1911,1
public,1814,1
national,1602,1
eu,1535,1
government,1427,1
want,1398,1
system,1348,1
social,1261,1
also,1228,1
law,1212,1
local,1206,1
ensure,1191,1
state,1088,1
support,1075,1
international,1013,1
security,1002,1
protection,985,1
energy,982,1
rights,966,1
europe,942,1
services,907,1
management,905,1
economic,894,1
areas,831,1
use,823,1
country,814,1
work,811,1
order,808,1
environmental,797,1
framework,794,1
regional,780,1
union,771,1
cooperation,741,1
health,737,1
implementation,736,1
federal,733,1
within,710,1
control,707,1
political,675,1
countries,675,1
resources,659,1
institutions,657,1
climate,649,1
citizens,647,1
make,642,1
water,637,1
level,627,1
reform,616,1
change,615,1
education,614,1
future,608,1
foreign,608,1
necessary,603,1
states,601,1
planning,591,1
projects,588,1
based,586,1
need,583,1
effective,575,1
sector,572,1
measures,570,1
policies,569,1
continue,568,1
information,552,1
environment,550,1
needs,549,1
strengthen,546,1
infrastructure,545,1
research,537,1
established,534,1
council,531,1
establishment,530,1
parliament,529,1
agricultural,529,1
financial,524,1
establish,522,1
people,521,1
standards,521,1
production,515,1
world,515,1
democratic,512,1
trade,512,1
develop,505,1
transport,505,1
made,503,1
legislation,500,1
time,499,1
well,498,1
participation,493,1
plan,491,1
society,490,1
human,482,1
cultural,481,1
strategy,480,1
legal,478,1
party,11725,2
people,2500,2
must,2414,2
rights,2346,2
social,2128,2
security,1774,2
society,1744,2
citizens,1611,2
public,1607,2
state,1605,2
policy,1601,2
country,1584,2
support,1574,2
want,1507,2
ensure,1472,2
also,1407,2
world,1351,2
government,1348,2
national,1301,2
law,1296,2
freedom,1294,2
peace,1244,2
political,1232,2
economic,1189,2
human,1185,2
right,1175,2
work,1165,2
life,1150,2
free,1123,2
development,1089,2
new,1040,2
international,1026,2
continue,996,2
democratic,970,2
make,955,2
democracy,939,2
protection,939,2
health,929,2
future,899,2
cultural,881,2
strong,858,2
nation,847,2
system,845,2
every,822,2
values,814,2
services,812,2
education,800,2
one,797,2
without,788,2
equal,776,2
us,776,2
culture,766,2
believe,763,2
states,762,2
based,741,2
justice,728,2
important,693,2
protect,689,2
order,681,2
good,673,2
american,672,2
cooperation,656,2
way,651,2
foreign,645,2
fundamental,640,2
responsibility,635,2
environment,630,2
civil,623,2
nations,613,2
care,610,2
united,610,2
countries,606,2
federal,604,2
respect,603,2
effective,599,2
committed,598,2
quality,595,2
need,588,2
interests,583,2
live,577,2
european,572,2
economy,571,2
policies,567,2
relations,560,2
principles,555,2
local,555,2
fair,551,2
common,543,2
well,540,2
time,539,2
institutions,535,2
use,533,2
service,532,2
strengthen,525,2
needs,520,2
together,517,2
possible,513,2
individual,513,2
participation,510,2
basis,509,2
party,14578,3
tax,4135,3
public,2801,3
must,2752,3
social,2608,3
want,2473,3
new,2014,3
people,1952,3
also,1866,3
system,1837,3
support,1690,3
work,1686,3
government,1625,3
economic,1561,3
income,1510,3
policy,1506,3
ensure,1493,3
state,1478,3
economy,1395,3
make,1375,3
energy,1375,3
services,1321,3
reduce,1295,3
development,1266,3
health,1255,3
local,1220,3
private,1180,3
financial,1138,3
sector,1127,3
use,1125,3
market,1088,3
insurance,1050,3
employment,1042,3
security,1039,3
need,992,3
citizens,973,3
companies,966,3
pension,949,3
housing,943,3
increase,938,3
end,925,3
order,915,3
pay,893,3
care,890,3
production,889,3
time,883,3
national,867,3
without,862,3
way,855,3
investment,833,3
federal,829,3
free,819,3
provide,818,3
law,816,3
working,808,3
future,799,3
workers,793,3
costs,786,3
would,777,3
resources,773,3
protection,766,3
fair,758,3
small,754,3
benefits,740,3
education,739,3
benefit,733,3
agricultural,725,3
areas,711,3
business,711,3
taxes,707,3
rights,705,3
policies,702,3
reform,701,3
made,690,3
measures,690,3
growth,689,3
better,682,3
jobs,678,3
conditions,658,3
create,657,3
trade,657,3
help,631,3
country,629,3
one,627,3
rates,626,3
improve,624,3
land,608,3
service,607,3
right,606,3
reduced,600,3
take,586,3
control,576,3
wage,574,3
society,573,3
necessary,570,3
needs,570,3
money,569,3
businesses,557,3
life,556,3
reducing,556,3
party,14404,4
must,4168,4
government,2171,4
people,2133,4
law,2030,4
rights,2007,4
want,1995,4
public,1864,4
state,1763,4
policy,1752,4
new,1735,4
also,1558,4
political,1517,4
national,1470,4
security,1436,4
support,1376,4
social,1313,4
international,1301,4
right,1283,4
system,1210,4
nuclear,1189,4
european,1181,4
use,1178,4
end,1166,4
states,1166,4
federal,1153,4
ensure,1107,4
eu,1103,4
protection,1103,4
country,1067,4
citizens,1065,4
without,1043,4
