1-gram,Frequency,Cluster
party,15788,0
new,3551,0
development,3187,0
support,2250,0
economic,2222,0
want,2137,0
social,2018,0
public,1968,0
also,1879,0
economy,1857,0
increase,1813,0
energy,1772,0
people,1708,0
country,1664,0
must,1582,0
policy,1495,0
education,1492,0
ensure,1457,0
services,1452,0
sector,1367,0
research,1348,0
world,1324,0
production,1312,0
national,1311,0
make,1303,0
infrastructure,1272,0
growth,1253,0
international,1216,0
quality,1199,0
work,1177,0
local,1169,0
investment,1147,0
use,1131,0
continue,1130,0
future,1116,0
system,1104,0
cultural,1088,0
areas,1072,0
tourism,1036,0
resources,1028,0
important,1028,0
technology,1027,0
create,1014,0
opportunities,1001,0
order,999,0
industry,993,0
society,982,0
cooperation,980,0
high,961,0
government,954,0
strengthen,942,0
improve,925,0
market,916,0
employment,901,0
european,884,0
business,873,0
countries,869,0
innovation,850,0
trade,838,0
better,817,0
state,814,0
develop,806,0
promote,805,0
citizens,805,0
need,802,0
life,795,0
provide,794,0
private,793,0
technologies,779,0
security,777,0
policies,774,0
products,767,0
transport,761,0
increased,756,0
foreign,756,0
information,756,0
needs,755,0
regional,753,0
projects,749,0
investments,748,0
sustainable,747,0
companies,745,0
jobs,739,0
culture,727,0
health,721,0
training,707,0
global,702,0
environment,688,0
financial,679,0
strong,678,0
institutions,674,0
conditions,672,0
modern,667,0
effective,656,0
cities,653,0
way,653,0
level,651,0
time,649,0
well,638,0
framework,634,0
party,10864,1
education,4806,1
people,3433,1
children,2993,1
health,2768,1
care,2691,1
support,2567,1
social,2309,1
must,2149,1
schools,2109,1
want,2013,1
work,1887,1
school,1881,1
services,1808,1
ensure,1794,1
training,1750,1
young,1693,1
also,1680,1
new,1492,1
women,1474,1
need,1381,1
system,1331,1
family,1330,1
public,1240,1
life,1117,1
provide,1114,1
students,1094,1
child,1077,1
make,1042,1
local,1021,1
families,1017,1
parents,996,1
opportunities,949,1
needs,924,1
educational,918,1
every,917,1
access,907,1
rights,902,1
development,861,1
free,843,1
teachers,842,1
youth,824,1
help,819,1
quality,806,1
working,793,1
state,780,1
right,770,1
society,765,1
time,751,1
employment,737,1
continue,734,1
national,732,1
improve,717,1
programs,699,1
special,688,1
citizens,680,1
better,674,1
sports,672,1
equal,660,1
disabilities,656,1
vocational,654,1
learning,649,1
order,648,1
good,636,1
use,634,1
age,631,1
policy,618,1
service,601,1
conditions,599,1
well,596,1
disabled,593,1
increase,589,1
government,589,1
including,585,1
centers,583,1
take,577,1
community,572,1
develop,550,1
areas,543,1
home,541,1
future,537,1
institutions,534,1
skills,533,1
necessary,531,1
federal,530,1
possible,525,1
standards,525,1
insurance,521,1
country,518,1
especially,517,1
provided,512,1
way,512,1
protection,510,1
medical,508,1
private,507,1
security,503,1
participation,498,1
law,498,1
basic,495,1
housing,491,1
party,14650,2
must,4227,2
people,2181,2
government,2108,2
law,2107,2
rights,2085,2
want,2031,2
public,1973,2
state,1891,2
new,1665,2
policy,1650,2
also,1551,2
security,1536,2
political,1530,2
national,1428,2
social,1411,2
support,1391,2
international,1292,2
right,1284,2
system,1231,2
use,1205,2
nuclear,1190,2
european,1169,2
end,1143,2
states,1138,2
citizens,1137,2
ensure,1121,2
without,1103,2
protection,1102,2
federal,1080,2
eu,1066,2
country,1059,2
work,1019,2
human,992,2
make,945,2
would,888,2
legal,887,2
world,886,2
power,884,2
society,877,2
freedom,872,2
order,848,2
free,841,2
health,834,2
economic,823,2
need,815,2
democratic,787,2
act,783,2
development,782,2
foreign,781,2
military,775,2
control,763,2
services,733,2
education,732,2
prevent,724,2
weapons,713,2
union,710,2
us,703,2
countries,698,2
believe,695,2
crime,688,2
take,686,2
protect,684,2
way,682,2
europe,677,2
time,677,2
united,674,2
future,671,2
reject,669,2
one,660,2
continue,659,2
interests,653,2
local,649,2
necessary,649,2
