1-gram,Frequency,Cluster
party,5474,0
people,2373,0
many,1462,0
government,1439,0
social,1358,0
years,1181,0
public,1180,0
new,1099,0
country,1079,0
economic,1060,0
health,1000,0
also,995,0
state,991,0
system,987,0
must,933,0
work,877,0
policy,863,0
economy,860,0
time,846,0
tax,719,0
care,714,0
one,713,0
crisis,711,0
world,705,0
national,693,0
even,689,0
education,678,0
political,666,0
society,665,0
services,620,0
development,608,0
without,592,0
citizens,581,0
high,577,0
want,576,0
need,574,0
security,572,0
problems,564,0
women,561,0
would,543,0
labour,536,0
children,526,0
administration,525,0
policies,509,0
countries,505,0
poverty,490,0
unemployment,490,0
financial,488,0
sector,481,0
market,479,0
power,478,0
european,478,0
jobs,477,0
life,475,0
today,475,0
support,474,0
federal,466,0
future,460,0
us,459,0
every,451,0
make,449,0
eu,446,0
often,444,0
way,443,0
private,442,0
workers,437,0
governments,435,0
rights,433,0
families,432,0
housing,428,0
companies,426,0
needs,425,0
young,419,0
lack,418,0
number,414,0
american,414,0
become,410,0
working,408,0
still,407,0
since,402,0
result,402,0
change,400,0
resources,388,0
law,388,0
pay,386,0
current,386,0
energy,385,0
made,379,0
due,379,0
international,374,0
greek,374,0
end,369,0
areas,368,0
states,366,0
problem,365,0
money,363,0
last,362,0
local,361,0
increase,354,0
much,349,0
party,15742,1
new,3564,1
development,3152,1
support,2228,1
economic,2222,1
want,2125,1
social,1989,1
public,1947,1
also,1876,1
economy,1863,1
increase,1813,1
energy,1766,1
people,1713,1
country,1676,1
must,1566,1
policy,1480,1
education,1479,1
services,1440,1
ensure,1426,1
sector,1364,1
world,1347,1
research,1335,1
make,1306,1
national,1302,1
production,1292,1
infrastructure,1253,1
growth,1252,1
international,1217,1
quality,1183,1
work,1179,1
local,1147,1
investment,1146,1
continue,1128,1
use,1115,1
future,1113,1
system,1100,1
cultural,1067,1
areas,1057,1
tourism,1032,1
technology,1025,1
resources,1020,1
important,1020,1
create,1014,1
industry,994,1
order,987,1
opportunities,986,1
society,975,1
cooperation,975,1
high,965,1
strengthen,936,1
government,933,1
improve,916,1
market,914,1
employment,893,1
european,879,1
countries,871,1
business,869,1
innovation,841,1
trade,838,1
state,820,1
better,818,1
develop,799,1
need,797,1
promote,796,1
life,793,1
citizens,791,1
private,791,1
provide,782,1
technologies,767,1
security,766,1
transport,762,1
policies,761,1
increased,760,1
products,757,1
foreign,751,1
investments,748,1
needs,745,1
companies,744,1
jobs,739,1
regional,739,1
projects,737,1
sustainable,736,1
information,736,1
culture,717,1
health,713,1
global,701,1
training,699,1
financial,681,1
environment,679,1
strong,676,1
conditions,668,1
institutions,664,1
modern,657,1
way,653,1
time,652,1
cities,651,1
effective,648,1
level,646,1
increasing,635,1
well,633,1
party,10586,2
must,2513,2
european,2103,2
public,2057,2
new,2056,2
development,1855,2
policy,1700,2
want,1514,2
national,1511,2
system,1386,2
also,1384,2
government,1328,2
ensure,1262,2
social,1251,2
local,1233,2
law,1214,2
eu,1169,2
state,1155,2
protection,1112,2
support,1070,2
security,1061,2
services,1004,2
rights,984,2
health,936,2
international,921,2
management,907,2
areas,888,2
use,862,2
order,859,2
federal,845,2
work,810,2
control,783,2
energy,773,2
environmental,751,2
country,747,2
framework,734,2
institutions,729,2
economic,727,2
education,726,2
regional,715,2
information,715,2
resources,712,2
citizens,697,2
cooperation,688,2
implementation,685,2
necessary,684,2
agricultural,680,2
water,675,2
europe,674,2
political,661,2
research,653,2
within,633,2
union,630,2
need,630,2
needs,619,2
make,615,2
sector,614,2
level,607,2
cultural,594,2
effective,593,2
foreign,584,2
measures,583,2
future,576,2
well,572,2
production,571,2
environment,571,2
strengthen,569,2
established,563,2
projects,560,2
establishment,559,2
people,555,2
planning,548,2
service,545,2
countries,543,2
made,533,2
legal,530,2
states,530,2
infrastructure,529,2
based,528,2
society,528,2
policies,526,2
financial,522,2
continue,522,2
reform,520,2
develop,518,2
standards,517,2
change,511,2
establish,510,2
administration,503,2
participation,493,2
take,489,2
council,485,2
role,480,2
climate,480,2
parliament,478,2
time,474,2
way,472,2
important,470,2
quality,469,2
world,460,2
party,11011,3
years,2713,3
new,2328,3
million,2317,3
billion,2226,3
people,2148,3
percent,2038,3
year,1996,3
tax,1975,3
increased,1734,3
per,1610,3
increase,1505,3
support,1415,3
government,1349,3
public,1327,3
education,1292,3
social,1268,3
health,1182,3
number,1174,3
income,1162,3
country,1083,3
first,1049,3
national,1041,3
rate,1023,3
work,988,3
also,967,3
every,926,3
one,920,3
services,899,3
development,893,3
period,866,3
time,861,3
system,848,3
care,841,3
thousand,813,3
jobs,806,3
total,802,3
2002,797,3
sector,794,3
investment,783,3
since,771,3
end,767,3
tl,760,3
children,759,3
euros,741,3
provide,736,3
economic,720,3
employment,712,3
state,697,3
energy,695,3
must,690,3
within,677,3
want,674,3
pension,672,3
ensure,667,3
world,666,3
last,658,3
economy,651,3
citizens,638,3
women,621,3
federal,620,3
service,617,3
two,610,3
make,608,3
high,601,3
housing,595,3
local,594,3
average,594,3
families,591,3
cent,589,3
pay,588,3
young,586,3
countries,584,3
budget,569,3
training,569,3
private,567,3
least,565,3
next,565,3
many,560,3
insurance,560,3
security,559,3
1,557,3
made,548,3
working,546,3
projects,541,3
provided,540,3
10,533,3
three,524,3
continue,524,3
20,522,3
need,520,3
would,510,3
growth,506,3
project,505,3
policy,503,3
50,499,3
family,498,3
students,497,3
spending,496,3
benefit,495,3
party,10783,4
education,4792,4
people,3363,4
children,2979,4
health,2675,4
care,2604,4
support,2538,4
social,2265,4
schools,2114,4
must,2092,4
want,1966,4
school,1880,4
work,1853,4
ensure,1781,4
services,1762,4
