2-gram,Frequency,Cluster
"('young', 'people')",267,0
"('social', 'security')",195,0
"('health', 'care')",195,0
"('recent', 'years')",169,0
"('many', 'people')",142,0
"('party', 'party')",131,0
"('european', 'union')",130,0
"('public', 'sector')",123,0
"('federal', 'government')",122,0
"('united', 'states')",114,0
"('party', 'continue')",99,0
"('climate', 'change')",95,0
"('armed', 'forces')",94,0
"('labor', 'market')",92,0
"('economic', 'crisis')",90,0
"('interest', 'rates')",89,0
"('government', 'party')",88,0
"('public', 'services')",87,0
"('party', 'also')",87,0
"('per', 'cent')",84,0
"('private', 'sector')",83,0
"('labour', 'party')",83,0
"('four', 'years')",77,0
"('foreign', 'policy')",76,0
"('men', 'women')",76,0
"('american', 'people')",75,0
"('human', 'rights')",74,0
"('economic', 'growth')",73,0
"('years', 'ago')",71,0
"('people', 'party')",69,0
"('hundreds', 'thousands')",68,0
"('millions', 'people')",67,0
"('health', 'insurance')",67,0
"('every', 'year')",64,0
"('mental', 'health')",63,0
"('education', 'system')",62,0
"('three', 'years')",61,0
"('labour', 'government')",61,0
"('million', 'people')",60,0
"('economic', 'social')",59,0
"('old', 'age')",59,0
"('public', 'administration')",58,0
"('many', 'years')",58,0
"('northern', 'ireland')",58,0
"('middle', 'east')",57,0
"('older', 'people')",57,0
"('small', 'businesses')",56,0
"('plaid', 'cymru')",56,0
"('two', 'years')",55,0
"('health', 'services')",53,0
"('small', 'mediumsized')",53,0
"('people', 'disabilities')",53,0
"('health', 'service')",51,0
"('rural', 'areas')",51,0
"('party', 'make')",50,0
"('trade', 'unions')",50,0
"('party', 'take')",50,0
"('party', 'work')",49,0
"('billion', 'euros')",49,0
"('five', 'years')",48,0
"('working', 'conditions')",47,0
"('party', 'ensure')",47,0
"('political', 'system')",47,0
"('party', 'put')",46,0
"('long', 'term')",46,0
"('every', 'day')",46,0
"('greek', 'people')",46,0
"('health', 'system')",46,0
"('middle', 'class')",46,0
"('real', 'estate')",46,0
"('ukip', 'party')",46,0
"('eight', 'years')",45,0
"('around', 'world')",45,0
"('higher', 'education')",45,0
"('state', 'local')",45,0
"('european', 'countries')",44,0
"('current', 'administration')",44,0
"('one', 'hand')",43,0
"('public', 'debt')",43,0
"('welfare', 'state')",43,0
"('public', 'health')",43,0
"('local', 'authorities')",43,0
"('soviet', 'union')",43,0
"('economic', 'policy')",42,0
"('party', 'become')",42,0
"('social', 'care')",42,0
"('uk', 'government')",42,0
"('must', 'also')",41,0
"('quality', 'life')",41,0
"('german', 'government')",41,0
"('die', 'linke')",41,0
"('conservative', 'government')",41,0
"('local', 'governments')",40,0
"('first', 'time')",40,0
"('national', 'security')",40,0
"('political', 'economic')",39,0
"('income', 'tax')",39,0
"('even', 'though')",39,0
"('federal', 'state')",39,0
"('minimum', 'wage')",38,0
"('party', 'continue')",687,1
"('party', 'increase')",481,1
"('party', 'ensure')",478,1
"('party', 'party')",366,1
"('private', 'sector')",360,1
"('party', 'make')",335,1
"('party', 'support')",304,1
"('young', 'people')",304,1
"('party', 'also')",297,1
"('party', 'established')",286,1
"('economic', 'growth')",285,1
"('party', 'increased')",267,1
"('quality', 'life')",265,1
"('party', 'ensured')",211,1
"('party', 'create')",211,1
"('party', 'provide')",207,1
"('research', 'development')",206,1
"('party', 'strengthen')",197,1
"('economic', 'development')",195,1
"('economic', 'social')",194,1
"('higher', 'education')",191,1
"('small', 'mediumsized')",191,1
"('rural', 'areas')",190,1
"('party', 'establish')",183,1
"('added', 'value')",183,1
"('party', 'encouraged')",182,1
"('foreign', 'policy')",181,1
"('new', 'technologies')",179,1
"('within', 'framework')",177,1
"('public', 'sector')",175,1
"('party', 'develop')",174,1
"('party', 'encourage')",174,1
"('science', 'technology')",170,1
"('sector', 'party')",165,1
"('renewable', 'energy')",164,1
"('party', 'made')",163,1
"('northern', 'ireland')",163,1
"('party', 'developed')",160,1
"('party', 'improve')",159,1
"('want', 'strengthen')",157,1
"('european', 'union')",155,1
"('new', 'jobs')",153,1
"('public', 'services')",152,1
"('labor', 'market')",150,1
"('system', 'party')",148,1
"('civil', 'society')",147,1
"('mediumsized', 'enterprises')",146,1
"('energy', 'efficiency')",145,1
"('social', 'security')",145,1
"('party', 'work')",144,1
"('party', 'expand')",139,1
"('local', 'governments')",138,1
"('sustainable', 'development')",136,1
"('public', 'transport')",132,1
"('human', 'resources')",132,1
"('party', 'improved')",132,1
"('party', 'become')",130,1
"('long', 'term')",129,1
"('create', 'new')",128,1
"('increase', 'number')",128,1
"('coming', 'period')",125,1
"('information', 'society')",124,1
"('party', 'implement')",123,1
"('party', 'take')",123,1
"('united', 'states')",123,1
"('party', 'provided')",122,1
"('high', 'valueadded')",122,1
"('natural', 'gas')",121,1
"('local', 'authorities')",121,1
"('framework', 'conditions')",117,1
"('regional', 'development')",116,1
"('high', 'quality')",114,1
"('country', 'party')",114,1
"('economy', 'party')",113,1
"('human', 'rights')",113,1
"('services', 'party')",110,1
"('environmentally', 'friendly')",110,1
"('market', 'economy')",110,1
"('renewable', 'energies')",110,1
"('party', 'promote')",109,1
"('party', 'given')",109,1
"('policies', 'party')",108,1
"('improve', 'quality')",108,1
"('public', 'administration')",106,1
"('public', 'private')",106,1
"('party', 'supported')",106,1
"('federal', 'government')",106,1
"('taking', 'account')",105,1
"('period', 'party')",105,1
"('21st', 'century')",104,1
"('recent', 'years')",104,1
"('climate', 'change')",103,1
"('must', 'also')",101,1
"('vocational', 'training')",100,1
"('also', 'want')",97,1
"('want', 'expand')",95,1
"('infrastructure', 'party')",94,1
"('projects', 'party')",93,1
"('industry', 'party')",92,1
"('policy', 'party')",91,1
"('european', 'union')",390,2
"('party', 'ensure')",347,2
"('party', 'continue')",287,2
"('party', 'established')",251,2
"('human', 'rights')",250,2
"('party', 'party')",228,2
"('within', 'framework')",227,2
"('foreign', 'policy')",211,2
"('local', 'government')",210,2
"('party', 'also')",206,2
"('party', 'establish')",202,2
"('climate', 'change')",179,2
"('local', 'authorities')",179,2
"('party', 'ensured')",178,2
"('party', 'made')",177,2
"('northern', 'ireland')",177,2
"('federal', 'government')",176,2
"('civil', 'society')",171,2
"('member', 'states')",165,2
"('party', 'work')",160,2
"('armed', 'forces')",157,2
"('must', 'also')",149,2
"('party', 'make')",147,2
"('public', 'administration')",142,2
"('system', 'party')",142,2
"('public', 'sector')",130,2
"('united', 'nations')",129,2
"('higher', 'education')",127,2
"('local', 'governments')",126,2
"('taking', 'account')",124,2
"('rural', 'areas')",120,2
"('government', 'party')",117,2
"('water', 'resources')",113,2
"('want', 'strengthen')",112,2
"('health', 'care')",110,2
"('party', 'take')",109,2
"('public', 'services')",108,2
"('party', 'develop')",106,2
"('party', 'create')",106,2
"('european', 'parliament')",102,2
"('social', 'security')",101,2
"('party', 'support')",98,2
"('rule', 'law')",98,2
"('party', 'strengthen')",98,2
"('private', 'sector')",97,2
"('economic', 'social')",95,2
"('cultural', 'heritage')",95,2
"('regional', 'development')",93,2
"('renewable', 'energy')",92,2
"('sustainable', 'development')",91,2
"('party', 'implement')",89,2
"('policy', 'party')",89,2
"('climate', 'protection')",88,2
"('also', 'want')",88,2
"('rural', 'development')",87,2
"('security', 'policy')",87,2
"('environmental', 'protection')",86,2
"('federal', 'state')",86,2
"('take', 'account')",85,2
"('european', 'level')",85,2
"('party', 'developed')",84,2
"('action', 'plan')",84,2
"('animal', 'welfare')",83,2
"('information', 'system')",82,2
"('services', 'party')",80,2
"('political', 'parties')",76,2
"('party', 'provide')",75,2
"('black', 'sea')",74,2
"('party', 'give')",74,2
"('public', 'institutions')",73,2
"('natural', 'resources')",73,2
"('institutional', 'framework')",73,2
"('agricultural', 'policy')",72,2
"('agricultural', 'products')",71,2
"('energy', 'sources')",70,2
"('party', 'given')",70,2
"('order', 'ensure')",69,2
"('free', 'democrats')",69,2
"('party', 'encouraged')",68,2
"('trade', 'unions')",68,2
"('public', 'procurement')",68,2
"('party', 'prepare')",68,2
"('nature', 'conservation')",68,2
"('republic', 'party')",68,2
"('national', 'assembly')",67,2
"('data', 'protection')",67,2
"('research', 'development')",66,2
"('party', 'set')",66,2
"('long', 'term')",66,2
"('mps', 'party')",66,2
"('uk', 'government')",66,2
"('party', 'taken')",65,2
"('party', 'introduce')",64,2
"('public', 'transport')",64,2
"('party', 'seek')",63,2
"('united', 'states')",63,2
"('resources', 'party')",62,2
"('party', 'complete')",62,2
"('snp', 'mps')",62,2
"('protected', 'areas')",61,2
"('per', 'cent')",586,3
"('young', 'people')",368,3
"('party', 'increase')",340,3
"('per', 'year')",336,3
"('party', 'continue')",300,3
"('social', 'security')",286,3
"('billion', 'tl')",273,3
"('four', 'years')",270,3
"('minimum', 'wage')",265,3
"('five', 'years')",253,3
"('party', 'provide')",252,3
"('party', 'also')",247,3
"('party', 'ensure')",245,3
"('first', 'time')",245,3
"('every', 'year')",234,3
"('income', 'tax')",227,3
"('billion', 'euros')",223,3
"('billion', 'dollars')",203,3
"('party', 'party')",190,3
"('higher', 'education')",189,3
"('public', 'sector')",187,3
"('within', 'scope')",186,3
"('two', 'years')",184,3
"('health', 'care')",182,3
"('three', 'years')",177,3
"('party', 'make')",176,3
"('years', 'party')",169,3
"('million', 'people')",169,3
"('new', 'jobs')",167,3
"('increased', 'number')",166,3
"('million', 'tl')",161,3
"('private', 'sector')",155,3
"('party', 'increased')",153,3
"('tax', 'rate')",138,3
"('1', 'billion')",136,3
"('federal', 'government')",134,3
"('disabled', 'people')",127,3
"('euros', 'per')",125,3
"('percent', '2002')",123,3
"('government', 'party')",121,3
"('small', 'businesses')",121,3
"('1', 'million')",112,3
"('billion', 'year')",111,3
"('per', 'week')",110,3
"('recent', 'years')",108,3
"('per', 'month')",107,3
"('party', 'create')",107,3
"('ten', 'years')",105,3
"('increase', 'number')",104,3
"('5', 'years')",104,3
"('public', 'services')",104,3
"('last', 'year')",104,3
"('united', 'states')",104,3
"('party', 'support')",103,3
"('health', 'insurance')",102,3
"('50', 'percent')",102,3
"('national', 'income')",100,3
"('real', 'terms')",100,3
"('economic', 'growth')",100,3
"('party', 'introduce')",99,3
"('european', 'union')",99,3
"('year', 'party')",98,3
"('years', 'ago')",97,3
"('interest', 'rates')",96,3
"('next', 'parliament')",96,3
"('party', 'receive')",95,3
"('mental', 'health')",95,3
"('party', 'give')",94,3
"('tax', 'rates')",94,3
"('drinking', 'water')",94,3
"('million', 'euros')",93,3
"('people', 'party')",91,3
"('2002', 'increased')",91,3
"('labour', 'party')",91,3
"('party', 'reduce')",89,3
"('per', 'capita')",89,3
"('2', 'billion')",89,3
"('local', 'authorities')",88,3
"('one', 'million')",87,3
"('party', 'take')",86,3
"('natural', 'gas')",86,3
"('party', 'establish')",84,3
"('usd', 'billion')",83,3
"('small', 'mediumsized')",83,3
"('labour', 'government')",83,3
"('northern', 'ireland')",83,3
"('party', 'able')",82,3
"('within', 'framework')",81,3
"('20', 'years')",81,3
"('armed', 'forces')",79,3
"('thousand', 'people')",79,3
"('party', 'provided')",78,3
"('climate', 'change')",78,3
"('party', 'help')",78,3
"('health', 'services')",76,3
"('rural', 'areas')",76,3
"('renewable', 'energy')",75,3
"('social', 'assistance')",74,3
"('party', 'reach')",74,3
"('across', 'country')",74,3
"('young', 'people')",1234,4
"('party', 'ensure')",586,4
"('health', 'care')",510,4
"('party', 'continue')",391,4
"('people', 'disabilities')",348,4
"('education', 'party')",309,4
"('party', 'provide')",309,4
"('higher', 'education')",296,4
"('party', 'also')",288,4
"('mental', 'health')",262,4
"('party', 'make')",258,4
"('health', 'services')",248,4
"('social', 'security')",247,4
"('education', 'system')",240,4
"('children', 'young')",214,4
"('education', 'training')",207,4
"('vocational', 'training')",206,4
"('party', 'increase')",200,4
"('party', 'establish')",187,4
"('disabled', 'people')",187,4
"('party', 'support')",187,4
"('every', 'child')",186,4
"('secondary', 'education')",178,4
"('party', 'provided')",176,4
"('local', 'authorities')",172,4
"('must', 'also')",162,4
"('health', 'insurance')",161,4
"('equal', 'opportunities')",160,4
"('schools', 'party')",158,4
"('party', 'work')",158,4
"('daycare', 'centers')",155,4
"('care', 'services')",154,4
"('services', 'party')",152,4
"('party', 'encourage')",148,4
"('continuing', 'education')",145,4
"('party', 'create')",135,4
"('party', 'give')",134,4
"('party', 'expand')",131,4
"('party', 'improve')",130,4
"('party', 'party')",129,4
"('people', 'party')",129,4
"('party', 'made')",125,4
"('rural', 'areas')",125,4
"('need', 'care')",124,4
"('party', 'take')",123,4
"('free', 'charge')",123,4
"('party', 'develop')",123,4
"('labor', 'market')",123,4
"('working', 'conditions')",116,4
"('people', 'need')",115,4
"('system', 'party')",115,4
"('party', 'help')",114,4
"('private', 'sector')",111,4
"('social', 'services')",111,4
"('vocational', 'education')",109,4
"('party', 'implement')",108,4
"('party', 'ensured')",108,4
"('children', 'party')",108,4
"('party', 'established')",107,4
"('quality', 'education')",106,4
"('lifelong', 'learning')",102,4
"('federal', 'government')",102,4
"('early', 'childhood')",101,4
"('social', 'life')",99,4
"('high', 'school')",97,4
"('women', 'men')",96,4
"('preschool', 'education')",96,4
"('want', 'strengthen')",96,4
"('within', 'framework')",95,4
"('make', 'sure')",95,4
"('also', 'want')",95,4
"('education', 'children')",93,4
"('children', 'need')",93,4
"('educational', 'institutions')",92,4
"('older', 'people')",92,4
"('old', 'age')",87,4
"('high', 'schools')",87,4
"('party', 'introduce')",86,4
"('medical', 'care')",86,4
"('public', 'sector')",85,4
"('social', 'support')",83,4
"('public', 'private')",83,4
"('care', 'system')",83,4
"('life', 'party')",82,4
"('educational', 'opportunities')",82,4
"('make', 'easier')",82,4
"('teacher', 'training')",82,4
"('health', 'education')",81,4
"('care', 'party')",80,4
"('working', 'life')",79,4
"('local', 'governments')",79,4
"('longterm', 'care')",79,4
"('women', 'party')",77,4
"('improve', 'quality')",77,4
"('centers', 'party')",77,4
"('working', 'hours')",77,4
"('secondary', 'school')",77,4
"('party', 'strengthen')",76,4
"('financial', 'support')",76,4
"('support', 'children')",76,4
"('social', 'security')",508,5
"('party', 'also')",391,5
"('party', 'ensure')",383,5
"('party', 'make')",327,5
"('private', 'sector')",314,5
"('party', 'continue')",304,5
"('public', 'sector')",280,5
"('income', 'tax')",268,5
"('federal', 'government')",238,5
"('health', 'care')",237,5
"('government', 'party')",229,5
"('labor', 'market')",216,5
"('small', 'mediumsized')",202,5
"('tax', 'system')",199,5
"('minimum', 'wage')",198,5
"('climate', 'change')",194,5
"('party', 'party')",193,5
"('party', 'reduce')",193,5
"('economic', 'growth')",192,5
"('system', 'party')",191,5
"('public', 'services')",188,5
"('party', 'support')",186,5
"('interest', 'rates')",176,5
"('party', 'increase')",173,5
"('party', 'work')",172,5
"('local', 'authorities')",171,5
"('must', 'also')",166,5
"('party', 'provide')",162,5
"('free', 'democrats')",162,5
"('party', 'ensured')",161,5
"('labour', 'party')",159,5
"('small', 'businesses')",157,5
"('party', 'made')",156,5
"('long', 'term')",154,5
"('local', 'government')",146,5
"('public', 'transport')",145,5
"('mediumsized', 'enterprises')",144,5
"('party', 'introduce')",140,5
"('working', 'hours')",139,5
"('climate', 'protection')",134,5
"('health', 'insurance')",133,5
"('party', 'create')",129,5
"('sector', 'party')",127,5
"('within', 'framework')",126,5
"('party', 'take')",126,5
"('policy', 'party')",124,5
"('new', 'jobs')",123,5
"('party', 'give')",122,5
"('party', 'put')",121,5
"('tax', 'evasion')",120,5
"('economic', 'social')",119,5
"('party', 'established')",119,5
"('market', 'economy')",118,5
"('tax', 'rates')",117,5
