2-gram,Frequency,Cluster
"('human', 'rights')",601,0
"('united', 'states')",404,0
"('party', 'party')",345,0
"('party', 'continue')",320,0
"('nuclear', 'weapons')",313,0
"('party', 'ensure')",301,0
"('foreign', 'policy')",250,0
"('european', 'union')",240,0
"('rule', 'law')",235,0
"('put', 'end')",209,0
"('party', 'make')",207,0
"('party', 'work')",199,0
"('federal', 'government')",193,0
"('die', 'linke')",190,0
"('party', 'also')",186,0
"('party', 'put')",173,0
"('united', 'nations')",172,0
"('young', 'people')",169,0
"('law', 'enforcement')",166,0
"('must', 'also')",165,0
"('party', 'allow')",163,0
"('party', 'end')",158,0
"('fundamental', 'rights')",150,0
"('government', 'party')",149,0
"('armed', 'forces')",146,0
"('international', 'law')",141,0
"('nuclear', 'power')",139,0
"('party', 'take')",137,0
"('civil', 'society')",136,0
"('health', 'care')",136,0
"('national', 'security')",135,0
"('social', 'security')",134,0
"('political', 'parties')",133,0
"('party', 'prevent')",130,0
"('party', 'made')",129,0
"('within', 'framework')",128,0
"('soviet', 'union')",124,0
"('party', 'prevented')",123,0
"('party', 'must')",122,0
"('northern', 'ireland')",118,0
"('party', 'abolish')",114,0
"('free', 'democrats')",114,0
"('republic', 'party')",113,0
"('basic', 'law')",108,0
"('party', 'abolished')",106,0
"('democrats', 'party')",105,0
"('middle', 'east')",102,0
"('american', 'people')",102,0
"('arms', 'control')",101,0
"('data', 'protection')",100,0
"('climate', 'change')",99,0
"('public', 'sector')",98,0
"('administration', 'party')",98,0
"('party', 'eliminated')",96,0
"('people', 'party')",95,0
"('party', 'establish')",95,0
"('public', 'services')",94,0
"('party', 'fight')",94,0
"('system', 'party')",92,0
"('party', 'established')",91,0
"('civil', 'rights')",91,0
"('uk', 'government')",91,0
"('party', 'support')",90,0
"('power', 'plants')",90,0
"('fight', 'terrorism')",89,0
"('economic', 'social')",88,0
"('public', 'officials')",88,0
"('party', 'introduce')",88,0
"('pirate', 'party')",87,0
"('party', 'never')",86,0
"('president', 'party')",86,0
"('member', 'states')",86,0
"('federal', 'state')",86,0
"('party', 'remove')",85,0
"('citizens', 'party')",85,0
"('criminal', 'law')",84,0
"('arms', 'exports')",84,0
"('law', 'party')",83,0
"('party', 'problem')",83,0
"('want', 'abolish')",82,0
"('local', 'government')",82,0
"('party', 'ensured')",80,0
"('party', 'seek')",79,0
"('rights', 'freedoms')",78,0
"('policy', 'party')",75,0
"('health', 'insurance')",74,0
"('mps', 'party')",73,0
"('security', 'council')",71,0
"('party', 'allowed')",71,0
"('state', 'party')",71,0
"('public', 'health')",71,0
"('party', 'protect')",71,0
"('labour', 'party')",71,0
"('snp', 'mps')",71,0
"('weapons', 'mass')",70,0
"('party', 'ended')",69,0
"('rights', 'party')",69,0
"('separation', 'powers')",69,0
"('violence', 'women')",69,0
"('party', 'strengthen')",69,0
"('rural', 'areas')",376,1
"('rural', 'development')",210,1
"('agricultural', 'products')",192,1
"('animal', 'welfare')",178,1
"('party', 'ensure')",176,1
"('agricultural', 'production')",172,1
"('party', 'continue')",172,1
"('agricultural', 'policy')",169,1
"('agricultural', 'sector')",137,1
"('nature', 'conservation')",137,1
"('party', 'also')",132,1
"('climate', 'change')",129,1
"('natural', 'resources')",129,1
"('party', 'support')",119,1
"('environmental', 'protection')",111,1
