Country,Year,0,1,2,3,4,5,6,7
Yunanistan,1996,2.70%,8.10%,24.30%,27.00%,21.60%,5.40%,10.80%,0%
Yunanistan,2004,15.30%,21.10%,6.00%,8.30%,19.90%,12.50%,9.50%,7.30%
Yunanistan,2007,11.20%,14.90%,9.90%,11.90%,18.50%,7.50%,10.40%,8.40%
Yunanistan,2009,24.00%,16.70%,7.70%,8.90%,20.50%,5.10%,9.90%,8.70%
Yunanistan,2012,8.00%,8.30%,17.40%,4.80%,17.40%,17.30%,8.20%,14.60%
Yunanistan,2015,9.50%,10.10%,12.70%,4.20%,15.60%,12.20%,7.10%,12.70%
Yunanistan,2019,18.70%,10.90%,13.10%,8.20%,15.00%,13.90%,4.20%,12.20%
Almanya,1998,8.92%,9.55%,13.38%,8.92%,21.65%,5.10%,5.10%,27.39%
Almanya,2002,7.34%,17.42%,16.16%,14.19%,14.04%,6.88%,14.41%,17.88%
Almanya,2005,5.66%,10.67%,11.11%,7.84%,7.78%,8.47%,11.44%,14.84%
Almanya,2009,4.63%,14.76%,14.37%,13.78%,11.94%,8.51%,15.35%,17.14%
Almanya,2013,4.56%,13.64%,14.57%,10.28%,10.31%,8.06%,12.44%,14.85%
Almanya,2017,3.35%,5.63%,9.31%,6.24%,4.94%,5.32%,6.34%,7.98%
Almanya,2021,2.68%,6.03%,8.57%,5.88%,8.15%,3.87%,5.58%,7.45%
İngiltere,1964,13.47%,10.73%,10.92%,5.16%,10.47%,12.07%,3.03%,16.77%
İngiltere,1966,8.25%,12.89%,9.49%,7.05%,11.59%,14.25%,4.73%,18.97%
İngiltere,1970,12.24%,8.51%,6.22%,3.68%,7.45%,11.11%,5.58%,14.96%
İngiltere,1974,15.43%,6.30%,13.87%,8.92%,8.92%,17.83%,8.01%,27.44%
İngiltere,1979,7.43%,7.14%,14.57%,4.07%,8.39%,12.60%,5.51%,18.58%
İngiltere,1983,13.56%,10.84%,14.68%,7.44%,8.69%,12.89%,6.18%,17.01%
İngiltere,1987,18.57%,6.27%,13.55%,9.46%,6.27%,12.73%,6.72%,16.49%
İngiltere,1992,16.52%,10.07%,6.33%,11.57%,9.62%,5.36%,6.14%,15.55%
İngiltere,1997,16.29%,10.89%,13.61%,13.06%,8.79%,9.09%,8.79%,14.76%
İngiltere,2001,19.92%,9.68%,12.17%,12.41%,10.65%,10.56%,7.48%,20.03%
İngiltere,2005,11.11%,4.73%,5.60%,7.16%,2.52%,5.52%,4.09%,8.55%
İngiltere,2006,4.26%,13.53%,12.67%,16.83%,24.21%,13.30%,10.65%,9.51%
İngiltere,2011,3.31%,6.60%,12.53%,6.92%,14.25%,12.53%,6.60%,8.58%
İngiltere,2015,11.77%,5.33%,7.54%,7.59%,4.29%,6.61%,3.62%,9.73%
İngiltere,2016,6.29%,11.26%,17.20%,8.39%,11.90%,14.67%,11.30%,8.20%
İngiltere,2017,10.43%,6.03%,10.46%,7.06%,5.30%,9.79%,4.28%,10.73%
İngiltere,2019,14.33%,7.11%,12.86%,9.33%,7.63%,10.43%,5.60%,15.71%
